cust_id,total_points,last_updated
1,759,2025-01-24
2,2962,2025-08-14
3,2988,2024-06-15
4,2211,2025-07-24
5,3758,2024-05-26
6,1252,2024-06-12
7,2404,2025-03-21
8,3063,2024-06-14
9,474,2024-09-03
10,3059,2025-03-24
11,581,2024-03-01
12,3334,2024-07-13
13,2779,2024-04-21
14,3630,2025-07-17
15,2172,2025-04-10
16,410,2025-08-21
17,982,2025-08-06
18,2457,2025-04-13
19,2001,2025-01-13
20,4532,2024-06-08
21,29,2024-12-07
22,295,2025-01-13
23,1266,2024-08-30
24,1822,2024-07-23
25,4392,2024-12-05
26,363,2025-03-22
27,3296,2024-10-29
28,4751,2025-09-13
29,1924,2024-11-13
30,3273,2024-09-06
31,3806,2025-06-27
32,2271,2025-06-17
33,660,2024-05-21
34,4784,2024-01-21
35,3978,2024-01-30
36,3511,2024-05-18
37,158,2025-07-06
38,1248,2024-09-01
39,4740,2024-01-27
40,4918,2024-05-03
41,3766,2024-06-05
42,3806,2025-08-06
43,2290,2025-09-02
44,141,2024-04-05
45,2511,2024-09-14
46,1590,2024-10-30
47,100,2025-08-10
48,1222,2025-07-30
49,812,2024-07-31
50,4864,2025-04-26
51,940,2025-07-11
52,1018,2025-04-24
53,2640,2025-09-10
54,1486,2025-08-22
55,4058,2024-10-22
56,444,2024-07-11
57,4987,2024-09-02
58,1261,2025-05-25
59,3399,2024-12-14
60,1956,2025-08-08
61,3606,2024-04-12
62,3256,2024-03-23
63,740,2025-03-20
64,2936,2025-01-18
65,1972,2025-05-24
66,4477,2024-06-10
67,4685,2025-01-02
68,1885,2025-09-13
69,4747,2025-01-08
70,1347,2024-09-20
71,3255,2025-07-24
72,205,2025-09-26
73,1923,2025-07-04
74,4008,2025-09-22
75,3261,2024-10-09
76,1908,2024-12-02
77,2652,2024-01-17
78,4863,2024-04-21
79,3633,2024-03-16
80,4516,2024-08-08
81,3885,2024-03-09
82,2896,2025-03-09
83,4556,2025-01-11
84,2531,2024-12-13
85,3439,2025-04-09
86,668,2024-10-05
87,2320,2025-08-30
88,1124,2024-09-18
89,4577,2024-12-28
90,170,2024-11-28
91,644,2025-02-09
92,1209,2024-08-29
93,4624,2025-10-01
94,3782,2025-04-07
95,1235,2024-03-04
96,4293,2025-06-19
97,4570,2025-01-30
98,1046,2025-06-23
99,1269,2024-03-20
100,3585,2024-02-14
101,1589,2025-01-11
102,427,2025-05-07
103,1207,2025-03-23
104,811,2024-12-09
105,4987,2025-06-24
106,908,2025-05-26
107,701,2025-06-20
108,849,2025-08-18
109,2403,2024-07-25
110,391,2024-12-05
111,3477,2024-03-21
112,3652,2025-09-09
113,1169,2025-09-14
114,3636,2024-03-19
115,4241,2025-01-31
116,3646,2024-03-30
117,1836,2024-05-04
118,3921,2025-06-22
119,4516,2025-08-24
120,1847,2024-12-20
121,4617,2024-02-12
122,3326,2024-10-31
123,1071,2025-01-14
124,3425,2024-09-11
125,3745,2024-09-03
126,2996,2025-02-16
127,792,2025-02-07
128,3743,2024-06-01
129,2713,2024-04-22
130,4294,2025-09-26
131,510,2024-05-21
132,3966,2024-07-15
133,4449,2025-01-23
134,2100,2025-05-05
135,1907,2024-02-23
136,1633,2024-10-21
137,3252,2025-05-22
138,4450,2025-06-20
139,1525,2024-01-15
140,1151,2025-05-03
141,968,2025-04-21
142,4962,2025-01-17
143,4621,2024-04-24
144,455,2025-04-09
145,1785,2025-08-15
146,3133,2025-04-04
147,1043,2024-08-16
148,924,2024-02-02
149,362,2025-02-15
150,2472,2024-05-26
151,2821,2025-01-25
152,1182,2025-04-19
153,647,2025-04-05
154,1711,2024-12-06
155,2634,2024-10-16
156,2563,2025-02-27
157,4510,2024-12-11
158,608,2024-02-19
159,495,2025-09-24
160,1468,2024-04-19
161,4628,2024-09-06
162,4094,2025-03-20
163,2576,2024-01-17
164,4428,2024-12-05
165,622,2024-12-14
166,1521,2025-08-22
167,3191,2024-11-20
168,215,2024-04-01
169,3118,2024-06-22
170,3966,2024-03-19
171,2721,2025-09-27
172,2573,2024-06-30
173,4469,2024-07-03
174,2480,2024-09-04
175,2945,2025-07-03
176,3526,2024-04-18
177,4821,2025-05-27
178,2555,2024-12-17
179,550,2024-11-03
180,4586,2025-03-12
181,1759,2024-07-29
182,3183,2025-09-17
183,1097,2024-11-16
184,4402,2024-06-26
185,1118,2024-07-18
186,1841,2025-07-04
187,340,2025-03-27
188,4816,2024-12-25
189,4214,2024-04-07
190,2027,2025-02-06
191,3023,2025-04-10
192,1735,2025-05-21
193,1017,2024-06-10
194,675,2025-01-15
195,638,2024-05-15
196,2566,2025-01-11
197,1745,2024-06-04
198,1145,2024-09-10
199,447,2024-09-02
200,3168,2025-08-05
201,495,2025-02-11
202,4188,2024-07-27
203,950,2025-04-09
204,4237,2024-09-22
205,2950,2024-02-26
206,100,2024-09-07
207,3054,2024-05-02
208,3741,2024-01-09
209,195,2024-08-26
210,4030,2024-03-02
211,3230,2024-03-17
212,4789,2024-04-21
213,2525,2025-04-19
214,2448,2024-09-23
215,1820,2024-05-13
216,1055,2024-04-04
217,1533,2024-10-08
218,4307,2024-09-12
219,4891,2024-08-12
220,1975,2024-09-29
221,2939,2025-08-28
222,4312,2025-05-04
223,908,2025-06-22
224,2599,2024-06-27
225,4648,2024-02-03
226,2841,2024-11-23
227,10,2024-02-19
228,273,2024-10-28
229,253,2025-03-17
230,2306,2024-10-31
231,1695,2024-06-23
232,1528,2025-04-01
233,2816,2025-07-08
234,284,2025-05-29
235,641,2025-03-21
236,2671,2024-10-09
237,2816,2025-02-24
238,1946,2024-02-20
239,2628,2024-10-02
240,4151,2025-02-17
241,1631,2024-10-07
242,3887,2025-08-23
243,1693,2024-10-02
244,2502,2024-10-08
245,885,2025-05-08
246,1146,2024-01-27
247,4379,2025-05-02
248,731,2024-08-15
249,1593,2025-05-27
250,4664,2025-04-13
251,1297,2025-05-16
252,2639,2025-06-27
253,374,2024-11-01
254,179,2025-08-26
255,161,2024-02-19
256,3447,2024-04-13
257,1627,2025-09-15
258,104,2024-04-01
259,2425,2024-09-27
260,1396,2024-12-02
261,2226,2025-01-29
262,3954,2025-08-05
263,2574,2024-01-13
264,2832,2025-01-29
265,4152,2024-08-16
266,145,2024-04-15
267,1826,2025-04-10
268,2391,2025-07-14
269,3744,2024-07-14
270,3545,2025-08-22
271,2409,2025-04-08
272,1086,2024-07-01
273,872,2024-01-26
274,508,2024-10-29
275,384,2025-01-25
276,3012,2025-08-25
277,4209,2024-05-02
278,4889,2024-02-22
279,4448,2025-07-03
280,1968,2025-09-20
281,1577,2024-11-24
282,3475,2024-04-16
283,577,2025-08-11
284,4797,2024-02-16
285,3203,2025-07-12
286,4887,2025-02-07
287,4647,2024-02-25
288,1050,2024-08-28
289,1381,2024-01-05
290,3648,2025-01-02
291,617,2024-01-20
292,3806,2025-05-28
293,4639,2025-08-02
294,350,2024-07-30
295,2157,2025-08-15
296,3324,2024-12-27
297,1289,2025-01-05
298,1047,2025-08-10
299,1774,2025-04-04
300,4886,2025-08-27
301,788,2024-06-30
302,355,2025-06-26
303,2320,2025-09-04
304,2587,2025-02-22
305,4522,2025-07-24
306,1325,2024-04-12
307,4917,2025-03-21
308,4268,2024-10-20
309,4911,2025-06-06
310,3272,2024-12-27
311,38,2024-09-24
312,4613,2025-05-10
313,1805,2024-08-23
314,2801,2024-03-18
315,1982,2024-09-28
316,54,2025-07-08
317,4306,2025-03-09
318,4759,2024-04-13
319,3049,2025-01-08
320,1225,2025-04-29
321,1338,2024-03-02
322,4960,2024-07-22
323,2763,2025-03-07
324,2975,2025-08-24
325,1367,2025-02-10
326,3193,2024-11-12
327,3900,2025-04-23
328,733,2025-03-28
329,4383,2024-01-09
330,3372,2025-07-28
331,1540,2024-03-11
332,837,2024-10-15
333,3442,2024-11-15
334,4449,2025-04-26
335,1707,2025-04-29
336,2952,2024-02-23
337,1991,2024-01-10
338,2772,2024-03-02
339,3094,2025-01-01
340,4904,2025-07-21
341,2982,2025-09-27
342,788,2025-06-19
343,4835,2024-09-19
344,477,2025-09-23
345,3156,2024-07-13
346,3289,2025-05-31
347,4469,2024-08-07
348,1106,2024-11-05
349,1278,2024-05-21
350,3999,2025-08-13
351,4934,2024-01-12
352,413,2025-02-06
353,4681,2024-02-20
354,3238,2025-08-08
355,2822,2025-08-31
356,3062,2024-06-08
357,4407,2024-08-04
358,3808,2024-01-09
359,4891,2025-06-28
360,1286,2024-01-19
361,1242,2024-12-15
362,2559,2025-09-11
363,4366,2024-05-01
364,214,2025-09-18
365,3174,2025-05-18
366,1661,2024-07-28
367,3116,2024-11-16
368,321,2025-07-25
369,4235,2024-05-25
370,204,2024-07-02
371,3681,2025-01-06
372,420,2025-03-05
373,3757,2025-05-24
374,4567,2024-07-31
375,892,2025-03-02
376,554,2025-03-13
377,4954,2024-10-21
378,12,2024-05-01
379,1648,2024-10-15
380,1438,2024-07-17
381,3391,2024-02-27
382,4376,2024-06-18
383,4301,2024-11-05
384,2786,2025-05-10
385,4279,2024-04-28
386,4731,2024-11-15
387,124,2025-09-29
388,583,2024-11-14
389,3493,2025-02-05
390,1079,2024-04-05
391,3211,2024-07-06
392,4707,2024-05-10
393,4837,2025-02-27
394,3566,2025-08-03
395,570,2025-09-04
396,1201,2024-06-01
397,4181,2025-02-17
398,2606,2025-01-26
399,2951,2025-03-03
400,693,2024-05-20
401,4080,2024-08-30
402,4234,2024-03-21
403,3843,2025-08-10
404,2390,2025-10-01
405,1430,2025-08-28
406,4062,2025-02-26
407,3266,2025-05-02
408,3676,2025-01-26
409,1980,2025-08-25
410,3368,2024-04-10
411,4867,2024-08-10
412,2413,2025-04-23
413,3183,2024-12-06
414,1178,2025-07-07
415,3652,2024-01-20
416,574,2025-07-07
417,4379,2024-12-14
418,3195,2024-04-19
419,3184,2024-03-05
420,350,2025-02-19
421,156,2025-04-27
422,4841,2024-03-06
423,1746,2024-02-16
424,1995,2025-08-18
425,3899,2024-05-09
426,4095,2025-09-18
427,2964,2025-07-06
428,3886,2025-05-24
429,1440,2024-06-10
430,1942,2025-02-26
431,1590,2025-01-02
432,3426,2024-06-24
433,4846,2025-04-29
434,362,2024-02-11
435,4575,2024-01-13
436,3762,2025-08-07
437,3488,2024-10-03
438,3001,2024-06-28
439,1846,2024-11-24
440,537,2024-07-11
441,1212,2025-05-23
442,1903,2025-06-16
443,3966,2025-01-15
444,1436,2024-06-06
445,1211,2025-01-16
446,4474,2025-06-03
447,4513,2024-04-29
448,4312,2024-08-15
449,1211,2025-03-13
450,3624,2024-10-22
451,4303,2024-12-09
452,3127,2024-10-23
453,2356,2025-03-03
454,3572,2024-09-21
455,1109,2024-12-31
456,774,2025-09-05
457,1121,2025-06-14
458,1543,2025-07-26
459,2970,2024-05-22
460,1856,2024-11-10
461,1608,2024-04-20
462,790,2024-05-06
463,1315,2025-05-27
464,808,2024-08-07
465,4212,2024-08-21
466,2361,2025-07-24
467,570,2025-05-02
468,1382,2024-03-07
469,4941,2025-02-18
470,432,2024-03-10
471,2404,2025-05-24
472,269,2024-06-30
