review_id,cust_id,prod_id,rating,review_date,review_text
1,11827,63313,2,2024-11-11,Value for money
2,48597,25640,4,2024-12-07,Value for money
3,37417,10614,3,2025-07-27,Good
4,47510,78243,5,2025-06-24,Excellent
5,33266,61562,1,2025-08-12,Value for money
6,3646,78216,3,2024-09-02,Value for money
7,7583,19367,1,2024-07-21,Average
8,38586,26670,4,2025-09-27,Good
9,16120,89940,1,2024-11-07,Poor
10,10757,71350,4,2024-02-29,Average
11,20773,5127,3,2025-07-13,Average
12,1309,54093,3,2024-10-30,Average
13,38433,70248,2,2024-05-16,Value for money
14,37036,92744,3,2024-08-22,Average
15,20070,70130,2,2024-11-16,Poor
16,37020,3263,2,2025-05-20,Excellent
17,22576,92689,4,2024-03-26,Excellent
18,8436,58747,5,2024-09-30,Average
19,27342,26349,3,2024-01-05,Value for money
20,39527,14738,4,2024-09-08,Value for money
21,33396,34791,2,2024-07-18,Average
22,1432,29354,1,2024-03-19,Excellent
23,38293,68092,4,2025-01-11,Average
24,46027,40321,1,2024-04-30,Average
25,32161,66095,4,2025-04-29,Poor
26,426,2849,5,2024-02-17,Average
27,31155,57800,1,2024-04-02,Excellent
28,14099,16412,2,2024-08-04,Poor
29,3261,46707,2,2024-03-31,Value for money
30,28625,81965,2,2024-01-26,Average
31,33713,97702,4,2024-11-16,Excellent
32,1365,86997,2,2024-10-22,Value for money
33,26344,44003,4,2024-05-06,Average
34,24000,33964,2,2024-04-18,Value for money
35,8694,39947,2,2024-06-02,Excellent
36,33796,5977,3,2025-08-25,Poor
37,4586,81260,3,2024-02-04,Good
38,23456,90847,2,2024-10-05,Poor
39,13518,16705,4,2025-04-27,Value for money
40,4808,44142,4,2025-05-24,Poor
41,872,58896,5,2024-01-06,Poor
42,37806,76794,3,2024-10-10,Excellent
43,29199,2627,2,2024-02-12,Good
44,36249,10732,1,2024-05-06,Good
45,21200,25135,1,2024-05-06,Average
46,2069,26539,5,2024-01-19,Good
47,41493,35690,3,2025-05-11,Poor
