expense_id,store_id,expense_date,category,amount
1,101,2025-04-24,Maintenance,274704.94
2,77,2025-03-22,Marketing,251148.26
3,55,2024-12-18,Misc,81951.49
4,23,2024-09-10,Utilities,153353.37
5,179,2025-06-10,Marketing,52952.06
6,38,2024-05-02,Security,78687.45
7,24,2024-04-18,Misc,225456.98
8,131,2024-08-02,Maintenance,7743.82
9,35,2024-03-08,Maintenance,102554.67
10,186,2025-09-08,Utilities,286009.79
11,50,2025-03-04,Marketing,191617.73
12,107,2024-08-11,Misc,9956.57
13,28,2025-06-24,Rent,5375.21
14,97,2025-05-11,Utilities,185960.0
15,53,2024-10-01,Marketing,194525.72
16,145,2025-07-04,Misc,149702.25
17,89,2025-06-14,Maintenance,245238.7
18,23,2025-07-02,Rent,238850.73
19,41,2025-07-10,Rent,166513.65
20,3,2024-06-17,Rent,117403.69
21,26,2024-07-24,Marketing,114751.06
22,5,2024-01-24,Marketing,51612.4
23,142,2025-05-01,Maintenance,273097.97
24,135,2025-02-01,Maintenance,211145.66
25,37,2024-06-19,Security,253121.75
26,3,2024-07-01,Maintenance,284881.42
27,55,2024-06-20,Security,210043.97
28,7,2025-02-08,Rent,265005.88
29,69,2025-02-02,Maintenance,157644.35
30,7,2024-02-28,Marketing,274789.39
31,72,2025-07-09,Utilities,136807.15
32,2,2025-03-12,Maintenance,43332.31
33,37,2025-07-15,Security,171233.09
34,105,2025-08-04,Misc,190967.36
35,4,2025-07-26,Rent,179010.45
36,154,2024-01-06,Misc,291385.34
37,120,2025-03-26,Rent,14360.69
38,36,2024-05-07,Marketing,291224.66
39,189,2025-09-14,Marketing,236334.61
40,59,2024-07-31,Security,33003.59
41,132,2025-03-06,Marketing,124297.8
42,160,2025-06-29,Rent,289343.66
43,105,2024-08-31,Maintenance,222670.69
44,178,2024-09-10,Utilities,108444.94
45,11,2024-10-26,Maintenance,22504.38
46,185,2024-05-23,Misc,2399.26
47,161,2024-07-02,Security,273538.89
48,82,2024-06-20,Security,7685.2
49,136,2024-04-09,Utilities,231181.38
50,22,2024-05-15,Misc,244896.29
51,85,2024-05-19,Security,181533.91
52,112,2024-02-08,Maintenance,54299.59
53,38,2024-01-23,Maintenance,132305.43
54,12,2025-02-19,Maintenance,113588.43
