emp_id,effective_date,salary
1960,2024-07-16,76414.77
865,2024-10-24,140770.26
449,2025-07-28,46433.08
1551,2024-11-27,66703.47
1223,2025-09-08,42433.12
1769,2025-02-09,152990.52
167,2024-03-03,125252.07
235,2025-06-04,131209.02
2803,2025-05-02,156848.46
920,2024-12-23,44848.0
1763,2024-09-26,107031.35
1514,2025-01-31,90234.4
1437,2024-07-24,68968.32
1453,2025-01-05,68790.25
2999,2024-08-13,125035.61
1869,2025-06-01,92448.34
349,2024-12-20,72527.46
2162,2024-02-05,80784.42
997,2024-12-03,111835.04
145,2024-03-27,97285.37
431,2024-05-04,74485.49
327,2025-03-29,35646.78
1317,2025-05-15,26368.49
790,2025-06-24,133830.23
750,2025-09-01,142162.15
2873,2025-05-20,58513.43
2659,2025-09-06,122520.7
604,2025-09-30,112062.85
116,2024-03-20,59825.98
481,2024-05-06,73956.83
2219,2025-04-01,43234.28
2350,2025-06-04,31953.7
2846,2025-02-15,52638.46
216,2024-07-26,108863.37
1293,2025-05-10,18518.45
1161,2025-05-17,108571.38
2142,2024-06-09,19737.28
645,2024-10-04,101157.26
830,2025-07-18,143645.71
2345,2024-09-26,71934.03
917,2025-03-20,52228.31
2218,2024-12-02,52618.87
967,2024-08-15,74385.02
2154,2024-04-24,145810.92
241,2024-08-26,41059.1
2707,2024-08-25,122638.89
2534,2024-06-05,90340.43
1025,2024-08-18,33262.03
1206,2024-05-19,87441.05
1887,2024-11-09,31602.82
2364,2025-06-18,64301.53
1115,2024-04-01,29925.45
1994,2024-12-06,25919.56
537,2024-01-22,81573.53
1832,2025-01-15,151360.87
1814,2025-01-01,31056.45
2457,2025-01-29,20591.03
2765,2024-11-17,88817.54
1464,2024-11-17,40353.16
605,2024-02-08,122690.47
2668,2024-01-05,127352.26
2596,2025-02-25,30995.9
2280,2024-06-27,25276.35
1605,2024-09-09,31938.89
1308,2025-01-17,59364.88
361,2025-04-29,155671.75
2438,2024-06-25,135708.26
400,2024-07-18,26420.58
2532,2025-09-29,114966.64
1725,2024-07-28,122606.8
432,2025-05-15,80307.59
2581,2025-05-31,151567.71
2993,2025-08-19,145816.96
2493,2025-01-27,150439.52
989,2025-02-20,74610.82
639,2025-01-19,61532.55
554,2024-10-07,47940.02
2648,2025-02-03,159402.81
2988,2025-03-16,140652.03
1883,2024-06-19,41060.73
2939,2024-08-28,59176.21
602,2024-05-27,153788.42
534,2024-12-23,108617.44
291,2025-08-18,60027.54
2900,2025-01-14,117758.33
2175,2024-10-04,135596.27
456,2025-06-29,69269.08
2027,2024-10-04,94850.36
2005,2025-04-29,65460.93
195,2024-02-06,22812.48
378,2025-02-10,57901.89
1817,2024-01-18,29923.58
1675,2025-05-11,54621.37
1843,2024-09-18,20348.04
2307,2025-08-04,48573.19
712,2024-09-09,47753.4
1030,2024-05-13,44913.82
2624,2024-08-17,149885.2
1956,2024-10-16,158189.57
1440,2024-09-25,137649.25
68,2024-06-21,59740.89
848,2025-03-16,110952.36
1902,2025-02-04,126335.3
2337,2025-05-26,82438.92
1704,2024-05-15,83204.6
233,2024-03-12,116976.28
2870,2024-07-09,48579.77
440,2024-01-18,65959.7
1478,2024-04-19,130817.81
2723,2024-07-15,91735.9
2058,2025-03-14,106951.97
1420,2025-07-12,61549.94
1004,2024-07-24,135152.96
592,2025-02-19,22859.63
2989,2024-06-09,73033.59
2336,2024-04-12,148496.16
457,2024-03-25,90694.44
642,2024-10-21,61627.99
2812,2025-06-24,42853.87
383,2024-03-05,104954.59
1691,2024-10-29,107493.32
468,2024-04-13,24873.89
2317,2024-08-16,64331.2
750,2025-05-16,74458.98
274,2025-03-25,18924.48
487,2024-07-24,46198.6
2260,2025-07-01,52686.89
89,2025-07-26,97122.01
2854,2025-09-26,68510.75
2113,2025-08-26,27999.46
211,2025-06-29,142445.84
2180,2024-05-04,23061.22
58,2024-08-22,42510.02
2531,2024-08-30,117949.55
1808,2024-11-23,32854.31
1838,2024-02-22,57218.72
384,2025-03-26,48010.14
