loyalty_id,customer_id,points_earned,source,date_earned
1,15691,185,Bonus,2025-10-15
2,6696,63,Purchase,2025-08-25
3,30902,36,Bonus,2025-08-17
4,12079,90,Referral,2025-11-14
5,39514,153,Referral,2025-03-13
6,9631,108,Purchase,2025-10-01
7,3617,383,Purchase,2026-01-09
8,24004,370,Referral,2025-04-30
9,41933,298,Purchase,2025-03-26
10,47819,491,Bonus,2025-07-12
11,33931,45,Purchase,2025-02-27
12,43746,384,Purchase,2025-05-17
13,36456,43,Purchase,2025-10-12
14,16548,75,Bonus,2025-09-02
15,36011,25,Purchase,2025-02-26
16,8757,297,Referral,2025-09-13
17,15350,277,Referral,2025-12-16
18,8769,295,Referral,2025-11-11
19,43467,146,Purchase,2025-05-08
20,16288,206,Bonus,2025-10-02
21,6920,123,Bonus,2025-12-20
22,2730,219,Bonus,2025-11-30
23,42677,408,Bonus,2025-07-10
24,38847,467,Purchase,2026-02-19
25,44351,363,Bonus,2025-11-25
26,36897,76,Purchase,2025-06-28
27,3157,375,Purchase,2025-03-02
28,26661,92,Purchase,2025-05-19
29,6900,134,Referral,2026-02-22
30,29637,406,Purchase,2025-11-13
31,43794,374,Purchase,2025-09-28
32,8247,211,Purchase,2025-09-30
33,25104,490,Bonus,2025-04-16
34,48381,352,Purchase,2025-03-14
35,47736,290,Referral,2025-03-11
36,34352,263,Purchase,2025-06-25
37,45944,113,Referral,2025-07-15
38,13085,100,Referral,2025-11-04
39,28169,271,Referral,2026-02-03
40,8072,177,Referral,2025-03-28
41,32510,294,Bonus,2025-08-19
42,9634,392,Purchase,2025-09-07
43,28159,343,Referral,2025-04-13
44,35386,451,Purchase,2025-08-08
45,18084,439,Referral,2025-10-19
46,41366,379,Purchase,2025-11-27
47,49459,27,Purchase,2025-11-22
48,30776,225,Referral,2025-09-03
49,17520,201,Bonus,2025-12-11
50,19991,456,Bonus,2025-07-05
51,23031,80,Bonus,2026-02-11
52,23611,43,Purchase,2025-08-30
53,22905,366,Purchase,2025-08-07
54,13076,475,Purchase,2025-09-30
55,36993,331,Purchase,2025-06-18
56,29080,25,Referral,2025-09-01
57,1976,105,Referral,2025-11-01
58,32859,109,Bonus,2025-03-06
59,44351,218,Purchase,2026-02-24
60,30688,278,Purchase,2025-07-14
61,37019,53,Referral,2025-06-28
62,40952,74,Bonus,2025-09-04
63,16609,29,Referral,2025-06-10
64,41628,329,Purchase,2025-11-09
65,46121,428,Referral,2025-03-05
66,40967,268,Bonus,2025-09-06
67,40344,389,Purchase,2025-04-13
68,34175,414,Purchase,2025-08-30
69,24081,176,Referral,2025-12-18
70,37430,81,Purchase,2025-11-29
71,9121,110,Purchase,2025-06-04
72,3140,263,Purchase,2025-08-08
73,39780,146,Purchase,2025-12-01
74,41122,136,Purchase,2025-09-30
75,44125,485,Bonus,2025-06-17
76,684,218,Bonus,2025-08-03
77,48775,398,Purchase,2026-02-24
78,33092,230,Purchase,2025-04-05
79,40401,375,Bonus,2025-05-13
80,3480,288,Bonus,2026-02-09
81,34956,460,Bonus,2026-01-13
82,23053,181,Purchase,2025-05-11
83,12119,144,Purchase,2025-04-27
84,48692,84,Referral,2026-02-25
85,39889,236,Purchase,2025-06-03
86,3345,134,Purchase,2026-01-03
87,339,385,Purchase,2026-01-08
88,13550,89,Referral,2025-04-25
89,40741,192,Referral,2025-11-19
90,500,117,Referral,2025-06-15
91,25828,87,Referral,2025-05-10
92,9871,332,Bonus,2025-10-30
93,47633,343,Bonus,2025-04-04
94,47423,86,Referral,2025-12-02
95,14454,269,Referral,2025-04-15
96,19077,70,Bonus,2025-11-07
97,49501,82,Purchase,2025-07-23
98,3298,106,Referral,2025-03-03
99,35935,49,Bonus,2026-01-29
