review_id,customer_id,product_id,rating,review_text,review_date
1,3415,3295,4,Ipsa aliquid sit esse explicabo.,2025-10-26
2,47613,5783,5,Consectetur dolores distinctio dolorum eveniet.,2024-12-10
3,40918,4873,5,Ad corporis sint sapiente incidunt voluptatem.,2025-06-14
4,29967,5904,2,Consequuntur sint eum fugit quod.,2024-04-22
5,43971,2384,3,Esse mollitia recusandae temporibus soluta.,2025-05-31
6,48654,346,2,Recusandae corporis doloribus ab error totam.,2024-11-15
7,27763,1731,5,Quis deserunt dolores doloremque.,2024-10-22
8,3481,3087,4,Ipsum architecto ad a distinctio atque illum nesciunt.,2025-11-13
9,11803,1950,4,Fuga neque officia mollitia.,2025-11-25
10,24879,1071,5,Sint nihil corporis blanditiis quidem aliquam.,2025-02-02
11,36532,4434,5,Esse laboriosam suscipit iure dolorem.,2025-01-28
12,32686,1379,5,Quod quae occaecati deserunt occaecati ex.,2024-08-09
13,757,167,5,Eveniet saepe commodi cupiditate inventore perferendis.,2025-07-19
14,15397,315,3,Facilis explicabo dignissimos error veniam.,2024-09-18
15,15214,814,4,Ipsa doloremque soluta quos cum.,2024-08-13
16,41363,1591,5,Voluptates laborum dolorem nihil consequatur laboriosam laboriosam eligendi.,2025-09-11
17,12554,398,5,Perferendis illum consequuntur provident.,2024-09-03
18,11589,2381,5,Occaecati aut aut repudiandae quia ratione.,2025-10-19
19,34418,3182,4,Quo architecto aliquid voluptas.,2026-01-12
20,25632,2065,3,Dolorum rerum dolores in maiores aperiam.,2026-02-02
21,28549,3445,3,Veritatis sit fuga illo amet tempora consectetur.,2025-05-17
22,29884,4759,4,Excepturi aperiam libero enim ipsum natus dolorem.,2025-11-26
23,29575,933,4,Consequatur a natus dicta.,2026-01-10
24,17788,495,4,Accusamus voluptatem id doloremque vitae doloremque.,2024-11-15
25,8984,3014,5,Quasi atque repellat incidunt voluptatibus qui deserunt perferendis.,2025-07-20
26,17817,2923,4,Incidunt voluptates voluptate doloremque exercitationem quasi voluptates.,2024-12-19
27,34955,3816,4,Itaque beatae labore perspiciatis totam blanditiis eius earum.,2024-11-28
28,24403,1934,3,Facere eum molestias optio.,2025-03-21
29,46762,3286,1,Harum pariatur doloremque.,2025-02-05
30,13255,2416,5,Praesentium molestias voluptatum omnis.,2025-05-06
31,35030,1815,1,Minima quam itaque laboriosam at placeat cum aperiam.,2024-06-14
32,8841,4903,3,Aut eaque dolorem vero autem ut deleniti.,2024-10-01
33,1020,1208,5,Quo magni ut cum.,2025-02-05
34,2563,2036,5,Deserunt ad ut beatae.,2024-04-04
35,38053,4025,2,Sit itaque nisi necessitatibus numquam eius.,2024-06-07
36,41111,5220,5,Accusamus laudantium nobis explicabo cum odio.,2024-09-23
37,36157,560,5,Unde id architecto accusantium perferendis incidunt.,2025-10-25
38,8369,1780,5,Hic dolor praesentium nemo.,2025-01-11
39,33710,2666,5,Nobis non cupiditate dolor deserunt soluta voluptatem.,2024-03-10
40,3720,5509,5,Praesentium unde asperiores omnis.,2025-04-05
41,41003,5514,4,Laborum consequatur eaque sunt.,2025-08-31
42,33811,4,5,Perspiciatis sunt nesciunt odio quam eos harum.,2025-05-19
43,49937,3401,4,Veniam repudiandae dolor blanditiis.,2024-03-14
44,6784,228,3,Perspiciatis impedit totam distinctio dolores repellat.,2025-05-03
45,16510,571,5,Fuga non magnam dolore magni.,2024-12-24
46,233,3728,5,Eligendi error quae dignissimos porro cupiditate ex.,2025-07-05
47,30636,5789,5,Corrupti vel laboriosam maiores reiciendis possimus.,2024-05-19
48,21038,4846,5,Laudantium officia consequuntur.,2025-10-21
49,49394,470,4,Dolorum ad laboriosam perspiciatis.,2024-10-18
50,45133,5823,3,Velit exercitationem sed consectetur molestiae incidunt.,2024-03-18
51,35649,5450,2,At repellat aliquam sed molestiae sint rerum atque.,2024-10-26
52,37147,1731,4,Porro totam debitis est voluptates maiores.,2024-04-28
53,29877,4425,4,Eius dignissimos exercitationem.,2024-04-30
54,16214,754,5,Sapiente quibusdam delectus reiciendis voluptatibus quasi.,2025-10-07
55,27596,2272,4,Eum animi aspernatur veniam explicabo animi.,2025-03-05
56,18023,5025,5,Distinctio accusamus alias voluptas numquam numquam.,2025-09-29
57,29263,1182,5,Dicta officiis eos animi quo.,2024-11-06
58,22156,464,5,Deleniti error dolores mollitia fuga quod rerum.,2024-06-01
59,42298,3722,4,Voluptas minima eaque doloribus in cumque natus amet.,2024-03-24
60,32512,3660,5,A maxime eaque hic suscipit.,2026-01-01
61,11423,5918,5,Tenetur cupiditate et iste maxime dolorem perspiciatis.,2025-02-10
62,24852,2818,5,Nam explicabo perferendis nihil animi.,2024-05-31
63,9370,436,5,Voluptatibus libero vero quidem.,2024-06-03
64,48948,5888,4,Deleniti cum vel nam libero necessitatibus voluptates.,2025-08-01
65,23860,5893,5,Error ea possimus dolores architecto.,2025-03-26
66,37015,3662,3,Voluptas eius modi dolorum quod dolorum.,2026-02-08
67,32934,1636,5,Ipsum odit reiciendis sit.,2025-05-23
68,15137,5067,3,Ab nulla corrupti expedita culpa sunt facilis.,2025-12-16
69,45160,2416,4,Esse iste rem deleniti unde perferendis sapiente.,2024-07-26
70,6739,5161,1,Rerum dolorem minima deserunt aspernatur sapiente.,2024-10-31
71,25333,2389,5,Fugiat laboriosam mollitia ea cumque.,2025-09-05
72,23323,3667,5,Quas ut est excepturi.,2025-06-19
73,35358,4105,5,Magnam nesciunt tenetur suscipit.,2024-07-02
74,23408,525,4,Dicta iusto consectetur nulla consequuntur.,2025-11-07
75,13816,777,5,Minus quo explicabo earum molestias dolorem ratione.,2025-05-18
76,46585,145,5,Culpa aliquam rem voluptates quo iure.,2026-01-17
