customer_id,tier_id,points_balance,join_date
25557,4,12508,2022-12-19
17637,3,5091,2021-11-04
2971,3,5696,2021-03-22
11573,2,2314,2024-02-10
11200,4,10441,2023-04-29
44055,4,10187,2021-03-23
13908,3,5465,2022-04-21
15259,4,11381,2023-02-23
25980,3,6510,2022-04-23
371,1,979,2022-08-11
31106,1,149,2022-01-03
17380,4,10967,2026-01-14
20666,4,14453,2023-09-12
6250,2,3977,2022-01-25
43943,4,13389,2021-05-24
10788,3,9055,2024-04-27
46162,4,14279,2024-08-24
35943,3,5142,2023-06-02
9298,2,3632,2025-10-29
37396,2,1049,2023-05-22
23762,3,6533,2022-01-19
4999,3,6586,2022-05-08
25739,3,8932,2022-04-30
16568,4,14230,2025-08-31
37076,3,8784,2023-08-18
32403,4,13715,2026-01-01
20348,3,8370,2021-06-13
5623,4,10259,2022-10-08
26337,4,11922,2021-12-30
28028,3,8798,2025-04-22
36654,4,11788,2024-02-05
15545,3,9703,2024-03-31
45735,1,408,2023-10-13
4570,2,3991,2024-01-27
14063,2,1553,2023-12-09
13079,3,7685,2025-12-06
9437,4,14027,2024-05-01
13442,2,4261,2023-10-04
365,4,13242,2024-12-16
40576,3,8879,2023-01-13
9558,3,9555,2024-09-12
44993,4,10069,2022-11-02
3367,1,952,2025-06-24
33915,3,8455,2023-12-16
9479,3,9100,2025-07-10
8901,2,3040,2022-01-29
5379,4,11078,2025-02-19
40850,4,14564,2023-10-23
49906,3,9745,2022-05-29
31198,4,10808,2024-03-22
14600,4,14645,2024-07-02
25995,3,6905,2022-09-20
23301,2,1681,2024-06-09
19463,3,7150,2023-11-07
9127,4,10375,2024-01-26
1357,4,14196,2024-07-13
9246,2,4161,2021-03-15
48284,3,9310,2024-11-25
38267,4,12204,2026-01-29
36394,1,76,2022-08-21
37509,3,5909,2025-11-03
49820,4,12337,2022-07-15
24810,2,2094,2026-02-09
24164,2,3427,2022-01-31
41259,2,1700,2025-05-11
3928,4,11914,2023-09-05
6060,2,2579,2022-11-18
8318,2,2218,2022-10-22
26134,4,13522,2024-11-03
15108,2,2807,2022-04-20
41142,3,6590,2021-10-12
14738,4,12488,2022-11-08
37120,2,2251,2021-09-06
42878,4,11876,2022-05-21
19377,1,326,2024-08-23
10092,4,12233,2021-09-20
2187,4,10331,2024-12-14
4203,4,12725,2021-05-25
12530,2,1104,2021-06-23
31168,4,10556,2023-06-05
42573,2,1532,2025-04-24
33582,3,6851,2022-02-23
25217,4,12207,2024-09-24
45318,4,14495,2022-06-14
18648,2,4703,2021-04-17
15925,4,11769,2022-09-21
15615,1,733,2026-02-03
10294,3,8491,2023-11-22
26308,2,1404,2023-08-20
6397,3,9778,2025-07-27
14435,1,191,2025-06-22
15568,2,3329,2024-02-15
41430,4,12033,2023-08-26
44679,3,9898,2022-07-13
23110,3,6019,2022-12-11
2851,1,80,2023-11-30
25873,2,4155,2023-07-05
11880,4,14170,2024-07-11
37591,1,71,2022-05-18
44037,3,9078,2024-10-06
26770,2,1976,2025-11-28
32499,3,6440,2025-06-06
43533,4,11875,2023-10-22
33062,2,2092,2021-10-17
30252,4,10774,2021-06-03
17108,4,14504,2022-03-21
19812,2,3811,2023-10-30
24655,2,1679,2024-04-07
7468,2,4952,2024-05-07
2782,4,12708,2021-10-11
193,4,10122,2024-12-31
46048,3,9972,2025-02-14
15238,2,3709,2025-07-28
35669,3,7527,2024-09-13
10894,4,13607,2024-03-05
39559,4,14693,2022-12-25
39939,2,4507,2025-07-03
38724,3,6088,2022-11-08
3059,1,380,2023-03-24
48452,2,4243,2025-03-25
27018,4,14845,2023-05-10
36705,3,8126,2025-08-21
22080,4,12738,2024-11-12
18566,4,13374,2023-08-07
26835,4,14753,2023-08-24
31621,4,12131,2025-03-27
49722,2,2138,2021-09-21
10785,4,13330,2023-10-16
31914,2,2612,2022-03-10
10301,3,9777,2023-06-24
41466,2,4840,2022-06-06
12075,3,6118,2023-01-01
13513,3,8038,2026-01-22
296,4,14442,2026-01-31
4992,3,5144,2024-10-13
36193,3,9342,2024-10-07
47394,2,1184,2022-07-11
20787,2,1417,2023-04-12
39986,2,4820,2024-05-09
671,4,11463,2023-07-29
46395,3,8752,2024-09-16
25881,2,4732,2021-03-22
46755,4,11208,2025-10-31
41805,3,8413,2023-09-06
4818,3,5038,2022-09-26
12816,2,3068,2023-09-02
39999,3,5189,2022-11-05
40815,3,6656,2024-02-14
47006,4,11019,2021-11-26
19146,3,6223,2023-06-11
36837,2,2936,2022-05-01
36485,4,12918,2021-08-22
12914,2,2820,2021-11-23
35690,2,1681,2023-03-14
4588,4,12298,2024-09-28
4449,4,10866,2024-06-06
31267,4,13607,2023-12-17
14318,4,13489,2023-06-01
20367,3,5786,2021-11-26
35336,2,3990,2022-02-10
1771,2,4884,2024-04-26
29146,4,10412,2021-04-09
11300,3,6301,2023-03-18
46876,4,14555,2025-09-01
9458,1,916,2025-08-27
38848,1,848,2023-01-16
40689,2,3691,2021-07-11
33400,3,7500,2023-04-02
38733,2,4547,2025-04-24
42691,3,7812,2023-01-12
46479,3,5633,2023-06-16
26576,4,13904,2022-11-30
34811,3,8106,2025-09-13
19411,1,800,2025-12-25
9076,4,11414,2025-09-17
47626,4,10622,2021-08-09
17600,3,7450,2025-04-11
31500,4,12185,2021-08-03
13787,3,6054,2025-07-11
45378,3,5480,2023-08-31
47093,3,5242,2022-09-04
23037,3,8086,2022-06-20
44376,1,979,2022-01-09
30111,3,7814,2024-12-18
13755,2,4217,2026-01-08
25077,2,2014,2023-08-19
35385,3,6907,2022-12-07
47299,4,10219,2025-04-16
29057,4,11754,2023-04-07
10931,4,12865,2021-08-09
46282,2,3406,2023-11-30
45127,2,1329,2021-04-24
46895,3,8435,2021-07-24
3689,2,4182,2021-06-05
27699,4,11680,2022-01-08
40483,4,11705,2023-04-17
47138,3,6132,2024-07-30
36334,2,1178,2021-12-01
27913,4,12467,2024-09-22
11232,2,2344,2023-03-19
49256,2,1553,2022-11-06
4664,1,604,2021-07-15
49531,3,8189,2022-05-11
30611,2,2408,2023-03-11
4805,4,10795,2023-06-19
36284,3,5674,2024-01-03
10041,4,12719,2022-02-24
35498,4,10998,2021-12-10
47134,4,12247,2024-03-23
31631,2,2848,2025-11-17
45918,3,9374,2023-02-19
33592,2,3606,2025-03-27
43436,3,6625,2024-05-26
15991,2,4660,2021-08-17
17020,3,8959,2025-11-12
2733,1,445,2024-10-13
21169,1,574,2023-02-05
16562,2,4103,2024-02-16
7399,3,8541,2025-08-28
14462,3,8625,2023-03-14
24196,2,4594,2021-04-16
24366,3,6199,2026-02-02
28505,4,13568,2024-06-03
43583,2,4815,2024-02-07
16523,3,9514,2023-05-21
34658,3,7337,2025-08-29
9583,3,8374,2022-02-17
12704,2,2069,2025-07-09
11526,2,1018,2021-06-23
28272,4,12311,2023-08-25
22967,3,9437,2022-03-18
3812,4,13080,2022-07-09
23661,3,6923,2024-03-29
34421,2,1240,2025-01-11
10387,4,13345,2025-05-15
31378,3,8949,2022-03-17
7547,4,14331,2023-08-28
4923,3,8402,2021-04-30
40359,4,14113,2025-10-05
25513,2,2763,2024-04-16
4936,4,12951,2024-02-29
41790,4,12376,2023-10-02
8436,3,5921,2023-05-31
44110,4,10703,2025-10-08
36990,4,10290,2022-09-14
10592,3,7924,2025-04-09
8177,3,8715,2024-08-07
12656,3,6472,2021-07-21
46765,4,14776,2024-09-11
33910,3,5727,2022-08-26
778,4,12749,2021-08-08
16657,3,5345,2025-03-16
36358,1,240,2024-04-13
43357,3,9357,2021-05-25
25487,2,3685,2023-05-24
16757,3,8998,2023-01-13
47484,3,5993,2025-01-23
25472,2,1133,2023-07-06
48362,3,8704,2021-08-13
8110,2,4920,2023-03-23
49641,3,6462,2024-10-18
983,2,4222,2023-01-21
28849,4,13410,2023-04-13
14561,2,1398,2024-01-17
41328,3,6713,2021-12-15
223,2,2143,2023-11-26
17043,2,3520,2024-08-14
32378,3,7551,2022-02-11
34697,1,591,2025-04-02
46146,2,3797,2025-04-26
9218,4,12255,2025-02-13
43007,2,1076,2024-07-26
17372,4,13665,2023-04-11
20284,2,4596,2021-03-23
19362,2,1928,2023-07-23
40735,4,11986,2025-08-27
37679,3,7698,2022-09-16
3670,1,170,2022-01-10
28114,3,6594,2022-04-23
26630,2,4610,2023-02-21
10728,4,13357,2021-03-29
18990,4,13859,2025-07-12
25138,2,1905,2021-09-10
17876,4,14259,2024-09-21
15306,4,12368,2024-05-29
32463,2,3749,2025-09-09
29886,1,845,2024-10-16
31371,2,2837,2021-08-07
11076,3,5845,2025-06-03
15163,4,13242,2025-04-02
13066,3,8631,2022-05-12
4863,3,5326,2024-08-16
14985,3,5153,2023-07-21
22667,4,11376,2024-08-20
39876,3,9013,2023-10-03
38580,4,13567,2023-10-22
44188,4,13717,2025-05-22
8286,3,9376,2022-06-16
19005,3,7719,2023-10-24
5196,3,9509,2024-07-29
49263,2,3252,2023-11-19
25610,4,14848,2023-08-09
12702,4,10827,2022-03-02
21277,4,12328,2024-07-26
42280,4,14986,2024-11-09
32617,3,8239,2021-06-16
17814,2,4932,2021-09-25
15997,3,6774,2022-12-10
24031,4,13662,2021-07-23
4948,2,1937,2021-08-23
251,2,2432,2026-01-25
44510,4,12539,2022-05-25
40193,3,6860,2022-01-01
1620,4,12271,2025-03-30
35069,2,4689,2021-12-24
961,4,13717,2022-01-31
9220,3,6817,2026-02-06
27372,4,12218,2021-04-30
14521,4,14630,2022-08-11
40419,3,5790,2021-09-08
38341,1,161,2023-10-11
35257,3,8896,2023-03-08
31448,2,1671,2021-09-11
13306,3,5809,2024-08-06
29081,3,8205,2022-05-31
23306,3,5278,2022-02-06
4073,3,6014,2022-07-17
29293,4,14641,2025-01-25
30352,3,9514,2025-03-11
17978,3,5603,2026-01-18
25541,4,13640,2024-05-20
27603,3,5445,2025-01-05
13212,4,11906,2022-04-29
41869,3,5020,2025-01-04
42586,4,13444,2023-09-18
27782,4,10356,2025-10-28
14832,2,1768,2021-10-26
32861,3,7429,2022-03-04
12945,3,6830,2023-04-09
48538,3,6472,2025-05-22
7568,3,9014,2022-03-22
3332,3,8180,2023-12-28
37544,4,10149,2022-02-15
40686,4,14611,2022-06-08
33446,2,3126,2026-02-25
37531,2,1672,2022-10-07
25491,2,3679,2021-05-31
40026,3,8829,2023-03-22
18816,2,3199,2025-06-05
26875,4,13689,2024-05-10
7817,2,1830,2021-12-09
5724,4,12484,2025-04-21
9528,4,13343,2024-06-18
22867,4,10756,2025-01-19
4479,4,12646,2023-12-08
1213,2,2991,2023-10-17
37775,4,10835,2024-02-28
30216,4,13737,2023-03-12
32145,4,11965,2023-12-19
11289,3,9650,2021-04-17
24489,3,9737,2025-06-21
1305,2,1769,2023-05-04
37993,2,4760,2024-04-04
41395,3,7252,2022-01-05
43518,4,14745,2024-02-13
32520,4,13480,2025-04-16
37393,3,6267,2025-12-22
22599,2,1767,2024-06-22
49860,3,9241,2024-06-25
16557,4,10400,2024-07-14
48408,4,11492,2022-04-08
12012,3,5615,2023-12-09
43334,3,5791,2022-08-05
37115,3,6932,2023-11-09
42004,3,5167,2021-04-11
25811,3,6423,2025-12-17
14760,4,12845,2024-09-24
36747,3,7610,2023-01-11
5312,4,12497,2025-09-13
