work_order_id,product_id,line_id,start_timestamp,end_timestamp,quantity_produced,rejected_quantity,status
1,237,3,2025-12-17 02:46:27.778651,2025-12-17 13:46:27.778651,2551,70,Completed
2,5679,4,2024-05-20 19:46:11.638269,2024-05-21 03:46:11.638269,1901,58,Completed
3,4940,6,2024-11-04 18:00:40.661809,2024-11-04 20:00:40.661809,481,10,Completed
4,3658,3,2025-10-23 20:59:35.481579,2025-10-23 21:59:35.481579,230,5,Completed
5,2010,1,2025-02-03 13:21:37.567343,2025-02-03 18:21:37.567343,683,1,Completed
6,4099,1,2025-01-31 16:37:08.041045,2025-01-31 20:37:08.041045,565,11,Completed
7,4360,5,2024-03-20 15:08:20.388370,2024-03-20 22:08:20.388370,1521,14,Completed
8,3842,9,2024-11-08 10:21:27.586284,2024-11-08 18:21:27.586284,2474,112,Completed
9,4531,3,2025-01-29 02:52:11.622977,2025-01-29 11:52:11.622977,2254,52,Completed
10,3637,2,2025-04-13 16:58:12.433465,2025-04-14 03:58:12.433465,2230,58,Completed
11,3200,2,2026-01-02 06:36:45.159814,2026-01-02 11:36:45.159814,942,31,Completed
12,5849,9,2024-05-25 04:02:16.485399,2024-05-25 13:02:16.485399,2851,74,Completed
13,3427,1,2025-05-15 17:52:47.199518,2025-05-15 19:52:47.199518,257,2,Completed
14,2716,1,2025-11-02 09:54:32.760982,2025-11-02 11:54:32.760982,275,1,Completed
15,4101,3,2024-04-30 17:51:54.086208,2024-04-30 19:51:54.086208,501,19,Completed
16,2724,10,2026-01-22 01:47:54.269108,2026-01-22 05:47:54.269108,1669,44,Completed
17,2413,10,2024-11-26 14:06:10.913841,2024-11-26 21:06:10.913841,2555,81,Completed
18,4851,7,2025-03-22 17:13:09.432773,2025-03-23 03:13:09.432773,4052,102,Completed
19,4049,5,2024-05-28 08:45:15.682534,2024-05-28 19:45:15.682534,2584,49,Completed
20,6020,10,2025-03-12 03:15:22.967737,2025-03-12 09:15:22.967737,2567,54,Completed
21,4344,3,2024-05-12 10:58:03.071382,2024-05-12 21:58:03.071382,2848,89,Completed
22,4277,3,2026-02-05 15:18:12.727208,2026-02-05 20:18:12.727208,1273,56,Completed
23,2294,3,2026-01-27 05:23:54.209314,2026-01-27 11:23:54.209314,1571,26,Completed
24,1404,10,2025-08-25 13:08:44.461328,2025-08-25 20:08:44.461328,2953,85,Completed
25,1623,10,2024-10-22 09:38:38.968338,2024-10-22 18:38:38.968338,3469,42,Completed
26,2064,2,2025-11-19 09:06:09.099394,2025-11-19 14:06:09.099394,985,28,Completed
27,5080,8,2025-11-02 10:01:55.684125,2025-11-02 14:01:55.684125,1539,42,Completed
28,1605,7,2025-02-11 12:00:17.380322,2025-02-11 17:00:17.380322,2212,42,Completed
29,1995,4,2025-05-18 12:35:55.617405,2025-05-18 16:35:55.617405,852,9,Completed
30,3573,8,2024-10-10 16:10:57.287360,2024-10-10 19:10:57.287360,1133,34,Completed
31,2465,5,2024-10-26 10:24:06.441212,2024-10-26 18:24:06.441212,2039,63,Completed
32,2781,5,2024-10-20 21:12:50.745922,2024-10-21 04:12:50.745922,1684,13,Completed
33,3804,7,2025-01-23 22:21:51.503452,2025-01-23 23:21:51.503452,417,18,Completed
34,5843,6,2026-01-14 16:21:27.631838,2026-01-14 23:21:27.631838,1472,41,Completed
35,5489,7,2024-10-03 08:17:36.990793,2024-10-03 09:17:36.990793,466,12,Completed
36,2155,3,2025-11-24 10:38:29.061438,2025-11-24 14:38:29.061438,1089,53,Completed
37,2246,1,2025-06-27 20:51:11.907706,2025-06-27 23:51:11.907706,406,7,Completed
38,1706,9,2024-04-21 08:08:20.638743,2024-04-21 10:08:20.638743,603,16,Completed
39,3696,5,2024-06-16 10:27:29.237396,2024-06-16 19:27:29.237396,2282,25,Completed
