pay_slip_id,employee_id,salary_month,salary_year,basic_salary,hra,other_allowances,pf,professional_tax,income_tax,gross_salary,net_salary,payment_date
1,1,August,2025,1631.63,815.82,1223.72,195.8,200,0.0,4079.08,3683.29,2025-08-31
2,1,September,2025,1631.63,815.82,1223.72,195.8,200,0.0,4079.08,3683.29,2025-09-30
3,1,October,2025,1631.63,815.82,1223.72,195.8,200,0.0,4079.08,3683.29,2025-10-31
4,1,November,2025,1631.63,815.82,1223.72,195.8,200,0.0,4079.08,3683.29,2025-11-30
5,1,December,2025,1631.63,815.82,1223.72,195.8,200,0.0,4079.08,3683.29,2025-12-31
6,2,November,2024,1482.17,741.08,1111.62,177.86,200,0.0,3705.42,3327.56,2024-11-30
7,2,December,2024,1482.17,741.08,1111.62,177.86,200,0.0,3705.42,3327.56,2024-12-31
8,2,January,2025,1482.17,741.08,1111.62,177.86,200,0.0,3705.42,3327.56,2025-01-31
9,2,February,2025,1482.17,741.08,1111.62,177.86,200,0.0,3705.42,3327.56,2025-02-28
10,2,March,2025,1482.17,741.08,1111.62,177.86,200,0.0,3705.42,3327.56,2025-03-31
11,2,April,2025,1482.17,741.08,1111.62,177.86,200,0.0,3705.42,3327.56,2025-04-30
12,2,May,2025,1482.17,741.08,1111.62,177.86,200,0.0,3705.42,3327.56,2025-05-31
13,2,June,2025,1482.17,741.08,1111.62,177.86,200,0.0,3705.42,3327.56,2025-06-30
14,2,July,2025,1482.17,741.08,1111.62,177.86,200,0.0,3705.42,3327.56,2025-07-31
15,2,August,2025,1482.17,741.08,1111.62,177.86,200,0.0,3705.42,3327.56,2025-08-31
16,2,September,2025,1482.17,741.08,1111.62,177.86,200,0.0,3705.42,3327.56,2025-09-30
17,2,October,2025,1482.17,741.08,1111.62,177.86,200,0.0,3705.42,3327.56,2025-10-31
18,2,November,2025,1482.17,741.08,1111.62,177.86,200,0.0,3705.42,3327.56,2025-11-30
19,2,December,2025,1482.17,741.08,1111.62,177.86,200,0.0,3705.42,3327.56,2025-12-31
20,3,January,2025,928.17,464.08,696.12,111.38,200,0.0,2320.42,2009.04,2025-01-31
21,3,February,2025,928.17,464.08,696.12,111.38,200,0.0,2320.42,2009.04,2025-02-28
22,3,March,2025,928.17,464.08,696.12,111.38,200,0.0,2320.42,2009.04,2025-03-31
23,3,April,2025,928.17,464.08,696.12,111.38,200,0.0,2320.42,2009.04,2025-04-30
24,3,May,2025,928.17,464.08,696.12,111.38,200,0.0,2320.42,2009.04,2025-05-31
25,3,June,2025,928.17,464.08,696.12,111.38,200,0.0,2320.42,2009.04,2025-06-30
26,3,July,2025,928.17,464.08,696.12,111.38,200,0.0,2320.42,2009.04,2025-07-31
27,3,August,2025,928.17,464.08,696.12,111.38,200,0.0,2320.42,2009.04,2025-08-31
28,3,September,2025,928.17,464.08,696.12,111.38,200,0.0,2320.42,2009.04,2025-09-30
29,3,October,2025,928.17,464.08,696.12,111.38,200,0.0,2320.42,2009.04,2025-10-31
30,3,November,2025,928.17,464.08,696.12,111.38,200,0.0,2320.42,2009.04,2025-11-30
31,3,December,2025,928.17,464.08,696.12,111.38,200,0.0,2320.42,2009.04,2025-12-31
32,4,October,2025,667.6,333.8,500.7,80.11,200,0.0,1669.0,1388.89,2025-10-31
33,4,November,2025,667.6,333.8,500.7,80.11,200,0.0,1669.0,1388.89,2025-11-30
34,4,December,2025,667.6,333.8,500.7,80.11,200,0.0,1669.0,1388.89,2025-12-31
35,5,December,2024,1087.57,543.78,815.67,130.51,200,0.0,2718.92,2388.41,2024-12-31
36,5,January,2025,1087.57,543.78,815.67,130.51,200,0.0,2718.92,2388.41,2025-01-31
37,5,February,2025,1087.57,543.78,815.67,130.51,200,0.0,2718.92,2388.41,2025-02-28
38,5,March,2025,1087.57,543.78,815.67,130.51,200,0.0,2718.92,2388.41,2025-03-31
39,5,April,2025,1087.57,543.78,815.67,130.51,200,0.0,2718.92,2388.41,2025-04-30
40,5,May,2025,1087.57,543.78,815.67,130.51,200,0.0,2718.92,2388.41,2025-05-31
41,5,June,2025,1087.57,543.78,815.67,130.51,200,0.0,2718.92,2388.41,2025-06-30
42,5,July,2025,1087.57,543.78,815.67,130.51,200,0.0,2718.92,2388.41,2025-07-31
43,5,August,2025,1087.57,543.78,815.67,130.51,200,0.0,2718.92,2388.41,2025-08-31
44,5,September,2025,1087.57,543.78,815.67,130.51,200,0.0,2718.92,2388.41,2025-09-30
45,5,October,2025,1087.57,543.78,815.67,130.51,200,0.0,2718.92,2388.41,2025-10-31
