store_id,product_id,quantity_on_hand,reorder_level
86,3285,4,13
2,3922,37,15
132,5326,110,19
45,2471,24,11
13,4838,124,48
55,432,8,29
160,796,66,37
22,3393,66,35
89,2040,61,43
55,2829,23,11
145,3939,161,42
198,1656,127,15
179,2390,15,36
136,3757,107,38
189,5123,104,49
97,751,56,33
138,3925,183,23
19,2689,8,24
128,3427,166,19
142,4148,91,28
67,2570,19,24
183,1983,128,11
61,2806,27,11
184,3311,47,19
63,4404,191,28
105,4360,61,42
104,689,99,26
139,3460,97,37
175,2338,60,24
134,2464,20,45
34,4346,72,29
193,5913,106,39
99,3317,74,46
64,5514,50,43
87,931,20,10
81,2984,54,47
66,461,36,41
159,5052,75,21
83,3790,159,34
190,1988,50,45
182,5496,53,37
92,2404,167,28
136,2947,195,26
170,5235,156,49
169,5758,134,43
187,2819,30,28
168,5440,32,12
150,3248,118,28
152,4475,30,12
38,5886,191,11
130,3253,195,15
125,3464,144,29
41,2223,172,42
19,3645,21,41
105,1652,54,10
130,2587,144,34
92,1990,49,11
96,5140,126,10
62,1418,147,41
16,1564,81,33
94,2228,146,19
150,130,70,37
142,2689,135,18
116,5035,70,20
56,69,16,26
65,3080,49,12
173,1012,128,17
54,912,110,22
194,4684,166,36
86,468,0,33
174,654,115,29
161,5340,85,47
50,2430,35,22
105,1067,14,29
22,5295,60,42
40,5743,81,49
39,258,54,21
105,4710,173,45
169,2886,180,43
68,5153,38,18
7,1477,34,14
85,5947,72,29
199,3244,129,20
132,5208,113,35
76,5532,178,25
91,3514,36,27
187,914,85,43
84,2137,110,19
154,285,90,49
31,4276,68,32
99,3389,95,42
197,884,3,40
52,3405,65,26
112,4789,8,33
72,4721,155,13
21,2125,84,39
16,3220,123,43
179,4931,24,32
16,1978,66,47
146,5223,44,42
175,3852,154,31
56,337,152,37
156,466,34,21
82,3435,165,34
78,1036,97,48
184,2605,32,46
37,5402,140,18
144,717,76,23
193,5733,124,14
60,3980,88,27
189,825,72,34
11,126,127,22
126,644,13,22
66,4052,101,24
126,4281,18,37
32,3850,43,18
147,1329,126,40
56,559,149,14
5,2762,50,18
131,2919,124,31
156,3484,55,13
90,12,197,44
94,5526,66,39
72,2752,43,15
100,5717,46,34
29,1965,62,45
59,4032,95,35
25,66,6,43
150,5298,93,18
97,1999,167,38
101,591,77,34
117,5847,134,10
199,221,142,41
23,4395,41,16
70,929,135,16
79,1885,142,34
79,1531,43,15
168,933,143,46
98,3473,197,27
14,5530,124,28
29,3243,104,13
144,3898,80,13
87,1289,17,29
10,2325,98,31
47,2369,0,44
4,3007,20,19
12,73,169,20
42,3483,155,48
4,206,140,27
84,2596,150,18
92,3515,159,31
92,2399,50,22
6,4526,27,16
142,1507,155,21
35,1822,172,16
175,5330,118,43
186,273,93,29
65,361,65,35
147,4404,144,28
57,5234,146,46
193,3503,0,34
13,2396,26,13
136,2648,95,14
18,3427,64,15
163,604,11,38
87,3470,13,32
114,4644,133,16
26,163,93,37
166,5690,20,21
66,1670,72,41
26,1982,186,33
126,4670,199,20
57,2598,91,35
25,4821,79,28
30,3804,114,22
135,3337,167,40
27,4109,8,25
139,5712,185,45
101,3311,48,23
136,4975,138,22
11,5745,91,30
126,3607,56,38
30,5870,90,10
94,5942,184,31
116,4653,42,49
15,2864,110,14
184,597,59,16
35,1085,148,42
39,2531,162,42
24,5550,12,40
8,3756,79,35
43,459,27,11
170,41,37,19
84,2602,74,22
169,5178,172,18
47,820,15,11
26,3125,148,14
180,3121,174,45
150,190,147,41
133,5668,140,20
143,2996,104,26
164,2857,193,12
101,5285,197,39
63,2963,160,46
93,1914,44,34
177,5864,98,39
55,5610,177,12
72,5050,135,35
60,5886,138,37
185,1911,153,40
29,5144,22,11
19,319,139,13
73,4580,197,25
138,4663,13,41
101,5252,112,24
138,3097,36,14
57,2877,191,35
182,253,107,45
184,5,154,24
68,3396,37,34
197,2693,52,47
87,3825,103,14
103,400,177,48
183,859,44,34
197,2700,65,37
72,5313,100,42
129,4217,137,24
118,2498,2,28
140,2504,51,12
163,2987,124,16
116,226,111,25
82,3181,180,17
161,3225,22,35
109,5474,2,37
153,4270,78,22
16,1776,16,47
136,4942,14,31
35,928,33,24
174,5565,180,16
139,413,129,19
189,3632,142,43
44,3667,42,22
139,5470,111,30
139,5911,7,22
150,3397,114,39
85,5591,76,10
82,3427,34,11
190,3061,99,26
176,3551,184,48
102,3790,5,17
63,2546,84,33
179,3048,93,12
173,1408,159,32
33,410,174,24
60,3032,169,23
123,5329,11,47
2,127,87,48
141,316,42,47
194,5887,0,32
57,5431,38,45
171,1149,195,22
45,2249,119,22
31,5071,47,27
138,3439,23,39
23,4420,185,16
29,856,72,31
31,1887,188,44
18,5900,67,24
11,4204,12,45
103,5768,138,43
47,5137,87,22
3,1279,98,12
130,3057,117,31
182,1033,169,39
72,1553,114,22
159,1530,173,19
136,51,26,17
171,5172,44,40
176,845,49,31
130,524,167,46
22,883,6,43
124,2142,10,48
133,5315,92,44
135,3013,137,35
20,1765,40,17
77,6008,47,29
130,2957,66,24
32,1015,99,15
90,781,16,28
3,156,144,47
169,4217,32,49
42,4399,62,15
77,5548,162,24
173,447,165,37
101,5573,73,42
199,3420,127,39
145,5677,69,10
128,1405,53,11
47,5245,10,49
197,3154,103,48
152,2302,9,31
199,1721,119,17
123,2907,112,41
34,2690,190,18
178,5162,194,20
42,5426,10,48
33,4127,125,33
123,5876,33,22
27,3799,147,12
59,5200,143,48
147,5786,199,33
