return_id,order_id,prod_id,return_date,reason,refund_amount
1,7,3343,2025-08-09,Not liked,282.52
2,9,4602,2024-06-11,Defective,5357.45
3,60,1382,2026-02-13,Wrong Item,5918.21
4,67,302,2024-07-23,Size issue,106067.63
5,126,989,2025-08-29,Defective,2529.53
6,127,4785,2024-09-05,Wrong Item,184.15
7,137,271,2026-03-02,Wrong Item,77169.46
8,171,3450,2025-06-18,Size issue,927.43
9,218,1278,2025-11-17,Size issue,8567.17
10,237,3292,2025-04-09,Size issue,1557.41
11,246,5206,2024-07-10,Not liked,10157.06
12,263,2031,2024-02-08,Defective,12656.3
13,273,5848,2025-09-16,Size issue,39152.37
14,279,4530,2025-03-03,Not liked,1575.21
15,298,5314,2025-11-11,Size issue,12852.23
16,305,696,2025-04-19,Defective,50011.97
17,314,5017,2025-11-15,Size issue,1075.77
18,320,284,2025-10-27,Wrong Item,98437.97
19,344,2605,2024-06-15,Size issue,3636.65
20,355,4877,2025-07-27,Size issue,731.89
21,386,2195,2024-05-27,Not liked,19002.53
22,394,1838,2025-04-14,Not liked,19824.74
23,401,5871,2026-03-03,Not liked,3514.54
24,402,2392,2024-03-15,Size issue,4621.65
25,412,5352,2024-11-29,Size issue,14365.41
26,415,4986,2024-11-02,Not liked,531.92
27,519,4270,2024-01-14,Size issue,778.32
28,526,4708,2025-10-10,Size issue,6619.45
29,536,1520,2026-02-25,Not liked,8561.99
30,567,2097,2024-12-24,Defective,14418.26
31,575,1154,2024-08-07,Not liked,6135.95
32,629,4928,2026-01-21,Size issue,205.21
33,639,4571,2025-01-31,Size issue,6554.89
34,666,4879,2024-12-04,Wrong Item,140.53
35,691,4641,2025-07-15,Not liked,4323.31
36,715,924,2026-03-05,Not liked,8693.03
37,745,486,2024-12-08,Wrong Item,5455.06
38,750,1818,2025-03-31,Wrong Item,16789.48
39,752,5453,2025-05-25,Not liked,8711.68
40,754,4735,2026-02-28,Wrong Item,1126.17
41,803,5506,2024-05-05,Wrong Item,12461.49
42,837,298,2024-02-13,Defective,122697.99
43,879,4831,2024-04-02,Wrong Item,83.05
44,890,5471,2025-01-21,Defective,13301.63
45,897,3963,2025-01-15,Wrong Item,791.18
46,911,2190,2024-07-09,Size issue,13538.48
47,924,2453,2025-08-09,Not liked,481.52
48,935,131,2024-01-22,Wrong Item,97157.92
49,938,958,2025-10-27,Wrong Item,4125.32
50,968,1082,2026-03-01,Wrong Item,584.18
51,978,2856,2024-04-21,Wrong Item,2912.81
52,1015,3003,2024-11-07,Not liked,1373.24
53,1018,3022,2025-09-02,Not liked,1462.61
54,1020,5343,2026-03-01,Wrong Item,9561.32
55,1035,3196,2024-06-17,Defective,1376.59
56,1048,2761,2024-05-02,Not liked,1731.36
57,1050,4683,2025-04-07,Wrong Item,7821.06
58,1055,1328,2024-06-09,Defective,798.23
59,1072,5026,2025-04-17,Wrong Item,793.13
60,1093,4942,2024-07-14,Not liked,378.32
61,1094,1603,2024-05-21,Size issue,5312.04
62,1126,5158,2024-02-08,Not liked,14066.69
63,1137,4976,2024-11-18,Size issue,1807.63
64,1143,5747,2024-06-02,Defective,36154.71
