store_expense_id,store_id,expense_type,amount,expense_date
1,116,Security,3776.67,2025-05-30
2,144,Repair,9509.61,2025-03-28
3,199,Repair,7333.34,2025-03-14
4,31,Security,6006.65,2025-11-07
5,125,Repair,1602.39,2025-10-11
6,168,Repair,1602.15,2025-09-13
7,132,Repair,627.93,2025-11-04
8,123,Repair,8668.45,2025-06-18
9,48,Internet,6031.09,2025-11-02
10,106,Internet,7095.32,2025-04-24
11,150,Internet,254.82,2025-03-07
12,123,Repair,9700.6,2025-08-07
13,80,Electricity,8332.8,2025-08-19
14,87,Repair,2162.77,2026-02-08
15,99,Water,1859.16,2025-06-24
16,170,Electricity,1874.87,2025-05-27
17,142,Water,3077.21,2025-08-03
18,200,Electricity,5271.33,2025-09-29
19,77,Internet,4347.85,2025-08-18
20,49,Water,2947.73,2025-12-26
21,171,Cleaning,6137.94,2025-05-17
22,119,Water,1437.96,2025-05-19
23,120,Internet,2956.84,2025-09-02
24,133,Security,3695.3,2025-09-28
25,33,Security,4587.9,2025-04-18
26,129,Repair,7862.5,2025-07-10
27,90,Repair,2036.75,2025-05-17
28,23,Internet,5166.63,2025-10-06
29,63,Cleaning,5944.52,2025-12-19
30,39,Repair,512.18,2025-07-08
31,118,Security,6095.07,2025-11-12
32,59,Electricity,1746.72,2025-03-01
33,89,Electricity,697.26,2026-01-14
34,179,Security,9491.41,2025-03-09
35,114,Internet,9658.04,2025-07-24
36,176,Water,8093.55,2025-08-07
37,37,Cleaning,3080.91,2025-09-07
38,96,Electricity,1021.84,2025-07-22
39,38,Internet,6858.12,2025-11-29
40,188,Repair,4429.52,2025-11-19
41,94,Repair,1264.28,2025-09-11
42,130,Water,4977.01,2026-01-15
43,15,Repair,392.17,2025-09-25
44,4,Repair,9097.74,2025-03-28
45,164,Cleaning,2624.86,2025-12-25
46,159,Security,6642.1,2025-04-22
47,90,Security,3151.53,2025-09-24
48,55,Electricity,5224.68,2025-07-11
49,114,Water,5489.77,2025-04-02
50,100,Cleaning,1889.3,2025-12-11
51,71,Repair,9697.37,2025-06-09
52,63,Repair,7762.57,2025-08-23
53,16,Water,9398.01,2025-12-16
54,35,Repair,8953.53,2026-02-08
55,134,Cleaning,5999.1,2025-08-16
56,185,Security,9222.65,2025-11-13
57,135,Repair,930.5,2025-04-23
58,193,Repair,2000.03,2025-07-22
59,83,Internet,500.01,2025-05-17
