summary_date,store_id,total_sales,total_expenses,net_profit
2025-01-01,1,1232801.47,374599.01,858202.46
2025-02-01,1,688561.5,646792.32,41769.18
2025-03-01,1,1160076.39,167132.94,992943.45
2025-04-01,1,1853753.32,332655.98,1521097.34
2025-05-01,1,302912.57,337044.26,-34131.69
2025-06-01,1,2388181.65,116172.07,2272009.58
2025-07-01,1,2096712.1,215049.94,1881662.16
2025-08-01,1,1462591.43,648573.86,814017.57
2025-09-01,1,1185230.28,219863.95,965366.33
2025-10-01,1,1832877.78,570569.66,1262308.12
2025-11-01,1,456475.79,656580.8,-200105.01
2025-12-01,1,2467570.17,190290.99,2277279.18
2025-01-01,2,433822.95,334187.14,99635.81
2025-02-01,2,2491198.91,692157.17,1799041.74
2025-03-01,2,1164216.56,651897.67,512318.89
2025-04-01,2,329215.66,185988.54,143227.12
2025-05-01,2,794012.26,290713.34,503298.92
2025-06-01,2,1007855.74,594497.14,413358.6
2025-07-01,2,2233009.45,604686.95,1628322.5
2025-08-01,2,768213.68,530868.04,237345.64
2025-09-01,2,1121780.26,216383.16,905397.1
2025-10-01,2,2143174.43,186894.07,1956280.36
2025-11-01,2,2161098.62,605773.76,1555324.86
2025-12-01,2,229140.08,118736.38,110403.7
2025-01-01,3,1037634.07,151129.75,886504.32
2025-02-01,3,1677860.31,340918.7,1336941.61
2025-03-01,3,1274112.39,721023.41,553088.98
2025-04-01,3,2415931.21,664497.68,1751433.53
2025-05-01,3,1944335.48,273445.44,1670890.04
2025-06-01,3,2460538.47,355704.87,2104833.6
2025-07-01,3,222724.28,132611.73,90112.55
2025-08-01,3,1467579.14,259865.64,1207713.5
2025-09-01,3,1570080.27,556563.76,1013516.51
2025-10-01,3,1021947.34,605187.07,416760.27
2025-11-01,3,752960.75,133318.39,619642.36
2025-12-01,3,1179071.57,426151.85,752919.72
2025-01-01,4,1518481.79,130711.57,1387770.22
2025-02-01,4,2026872.2,773004.8,1253867.4
2025-03-01,4,639968.81,356609.23,283359.58
2025-04-01,4,1847668.16,777492.88,1070175.28
2025-05-01,4,2000907.55,722077.83,1278829.72
2025-06-01,4,534111.67,362000.5,172111.17
2025-07-01,4,2050510.34,233545.94,1816964.4
2025-08-01,4,972643.78,182374.23,790269.55
2025-09-01,4,829083.82,608852.25,220231.57
2025-10-01,4,1683199.35,207365.01,1475834.34
2025-11-01,4,1808568.66,252947.93,1555620.73
2025-12-01,4,1315826.08,788430.38,527395.7
2025-01-01,5,1604149.13,254115.58,1350033.55
2025-02-01,5,247780.62,610658.18,-362877.56
2025-03-01,5,1335587.05,108749.17,1226837.88
2025-04-01,5,1871715.87,112055.65,1759660.22
2025-05-01,5,1575391.42,548662.2,1026729.22
2025-06-01,5,1719091.24,583310.52,1135780.72
2025-07-01,5,925926.79,159758.52,766168.27
2025-08-01,5,932495.42,777118.17,155377.25
2025-09-01,5,1632558.73,483794.78,1148763.95
2025-10-01,5,205181.2,372357.99,-167176.79
2025-11-01,5,2358525.52,678495.35,1680030.17
2025-12-01,5,687671.21,397453.98,290217.23
2025-01-01,6,920463.43,293914.98,626548.45
2025-02-01,6,1696352.18,207301.48,1489050.7
2025-03-01,6,1800014.07,177938.91,1622075.16
2025-04-01,6,2315122.32,452637.96,1862484.36
2025-05-01,6,1410468.64,413686.65,996781.99
2025-06-01,6,2232239.31,485449.36,1746789.95
2025-07-01,6,1723883.05,408468.79,1315414.26
2025-08-01,6,2333850.92,518650.62,1815200.3
2025-09-01,6,973787.41,578589.2,395198.21
2025-10-01,6,315959.12,676413.63,-360454.51
2025-11-01,6,1265185.46,206546.96,1058638.5
2025-12-01,6,873213.28,618572.85,254640.43
2025-01-01,7,1650752.16,137518.49,1513233.67
2025-02-01,7,988949.88,114824.97,874124.91
2025-03-01,7,1952246.59,761523.91,1190722.68
2025-04-01,7,1289526.73,495977.19,793549.54
2025-05-01,7,1551247.86,183637.25,1367610.61
2025-06-01,7,1057927.57,401873.07,656054.5
2025-07-01,7,1505784.97,225863.39,1279921.58
2025-08-01,7,2349346.83,150747.09,2198599.74
2025-09-01,7,1971134.28,233498.6,1737635.68
2025-10-01,7,1610595.71,519233.1,1091362.61
2025-11-01,7,685284.24,736337.73,-51053.49
2025-12-01,7,1480333.94,409748.32,1070585.62
2025-01-01,8,2170415.87,100757.2,2069658.67
2025-02-01,8,1073084.92,276732.7,796352.22
2025-03-01,8,1021923.12,524038.1,497885.02
2025-04-01,8,332823.18,745111.29,-412288.11
2025-05-01,8,454655.54,514354.26,-59698.72
2025-06-01,8,836540.45,773733.35,62807.1
2025-07-01,8,1466292.45,316331.02,1149961.43
2025-08-01,8,1075737.71,763660.46,312077.25
2025-09-01,8,486685.62,765692.48,-279006.86
2025-10-01,8,827079.87,135699.5,691380.37
2025-11-01,8,555440.94,789974.35,-234533.41
2025-12-01,8,1340348.85,679720.32,660628.53
2025-01-01,9,1039739.26,395193.25,644546.01
2025-02-01,9,2408136.88,326568.14,2081568.74
2025-03-01,9,915976.32,593243.06,322733.26
2025-04-01,9,428863.67,184520.52,244343.15
2025-05-01,9,797771.17,535870.77,261900.4
2025-06-01,9,1110985.27,121408.05,989577.22
2025-07-01,9,533290.09,266335.84,266954.25
2025-08-01,9,1948331.43,448319.16,1500012.27
2025-09-01,9,956717.13,644279.38,312437.75
2025-10-01,9,391300.27,344648.12,46652.15
2025-11-01,9,1760126.93,298108.81,1462018.12
2025-12-01,9,829764.87,318941.69,510823.18
2025-01-01,10,1513825.25,428872.99,1084952.26
2025-02-01,10,968679.73,280937.7,687742.03
2025-03-01,10,2088925.14,746262.11,1342663.03
2025-04-01,10,1017192.51,249660.23,767532.28
2025-05-01,10,2257044.48,160086.84,2096957.64
2025-06-01,10,878484.06,281848.79,596635.27
2025-07-01,10,2165113.78,759968.11,1405145.67
2025-08-01,10,1130622.2,701992.28,428629.92
2025-09-01,10,1174480.9,377831.25,796649.65
2025-10-01,10,1471964.87,351761.67,1120203.2
2025-11-01,10,1812609.87,363376.02,1449233.85
2025-12-01,10,2492549.76,230984.51,2261565.25
2025-01-01,11,658221.25,650333.77,7887.48
2025-02-01,11,1534302.61,457710.73,1076591.88
2025-03-01,11,302297.48,575310.08,-273012.6
2025-04-01,11,439300.68,721282.39,-281981.71
2025-05-01,11,2128022.29,282944.81,1845077.48
2025-06-01,11,578192.9,589102.89,-10909.99
2025-07-01,11,805039.22,357165.04,447874.18
2025-08-01,11,1379329.95,648746.44,730583.51
2025-09-01,11,2470968.66,402454.96,2068513.7
2025-10-01,11,273083.38,613460.47,-340377.09
2025-11-01,11,325307.23,595798.85,-270491.62
2025-12-01,11,550795.86,791175.38,-240379.52
2025-01-01,12,2238570.1,202287.94,2036282.16
2025-02-01,12,566295.45,244802.58,321492.87
2025-03-01,12,2383619.27,313679.46,2069939.81
2025-04-01,12,2477986.57,681412.57,1796574.0
2025-05-01,12,745742.0,485283.53,260458.47
2025-06-01,12,2240260.38,134957.86,2105302.52
2025-07-01,12,1269508.08,571112.04,698396.04
2025-08-01,12,900256.79,636163.67,264093.12
2025-09-01,12,874165.94,715814.43,158351.51
2025-10-01,12,2445353.43,161395.62,2283957.81
2025-11-01,12,1887885.2,562459.37,1325425.83
2025-12-01,12,1785477.31,546471.11,1239006.2
2025-01-01,13,877929.92,459031.79,418898.13
2025-02-01,13,1146335.08,759316.39,387018.69
2025-03-01,13,2131630.93,503077.17,1628553.76
2025-04-01,13,1773494.06,522498.02,1250996.04
2025-05-01,13,1201094.56,540202.23,660892.33
2025-06-01,13,1260378.58,211935.42,1048443.16
2025-07-01,13,1197819.66,165337.74,1032481.92
2025-08-01,13,648871.4,386712.23,262159.17
2025-09-01,13,2087720.52,360927.02,1726793.5
2025-10-01,13,1293260.81,605251.36,688009.45
2025-11-01,13,1963840.56,178819.31,1785021.25
2025-12-01,13,921906.64,760821.46,161085.18
2025-01-01,14,1018960.55,326866.78,692093.77
2025-02-01,14,2346996.58,184817.74,2162178.84
2025-03-01,14,2481562.84,501839.78,1979723.06
2025-04-01,14,808253.15,212358.04,595895.11
2025-05-01,14,2499405.29,199797.78,2299607.51
2025-06-01,14,1817086.88,370502.01,1446584.87
2025-07-01,14,2146656.21,197534.18,1949122.03
2025-08-01,14,2300867.12,599339.66,1701527.46
2025-09-01,14,439553.64,615031.81,-175478.17
2025-10-01,14,1195530.1,264367.75,931162.35
2025-11-01,14,2339585.3,506887.54,1832697.76
2025-12-01,14,1075091.03,235561.99,839529.04
2025-01-01,15,794641.67,481024.82,313616.85
2025-02-01,15,1093328.69,416969.13,676359.56
2025-03-01,15,777248.26,718789.37,58458.89
2025-04-01,15,2273400.4,299336.25,1974064.15
2025-05-01,15,1764270.66,343266.94,1421003.72
2025-06-01,15,2055416.19,278327.58,1777088.61
2025-07-01,15,350490.34,316363.03,34127.31
2025-08-01,15,234401.13,458577.83,-224176.7
2025-09-01,15,550998.22,597141.22,-46143.0
2025-10-01,15,952622.01,770751.2,181870.81
2025-11-01,15,1959019.21,636775.74,1322243.47
2025-12-01,15,1166126.66,316984.89,849141.77
2025-01-01,16,691578.21,329252.43,362325.78
2025-02-01,16,488041.35,517839.74,-29798.39
2025-03-01,16,1535639.26,413649.23,1121990.03
2025-04-01,16,967160.2,542763.97,424396.23
2025-05-01,16,334880.68,308657.68,26223.0
2025-06-01,16,454062.55,692744.68,-238682.13
2025-07-01,16,1069379.87,453638.74,615741.13
2025-08-01,16,224030.86,391197.99,-167167.13
2025-09-01,16,2484737.85,268706.31,2216031.54
2025-10-01,16,739015.8,779446.66,-40430.86
2025-11-01,16,1511757.56,606323.64,905433.92
2025-12-01,16,2174153.54,760765.53,1413388.01
2025-01-01,17,634565.01,631635.62,2929.39
2025-02-01,17,1104483.32,380606.67,723876.65
2025-03-01,17,1436626.09,724295.5,712330.59
2025-04-01,17,2003175.77,125420.38,1877755.39
2025-05-01,17,258061.73,663991.86,-405930.13
2025-06-01,17,221988.26,267266.32,-45278.06
2025-07-01,17,1604822.18,501119.91,1103702.27
2025-08-01,17,1012912.07,693868.09,319043.98
2025-09-01,17,1611428.7,783585.72,827842.98
2025-10-01,17,889626.27,442807.3,446818.97
2025-11-01,17,1761290.66,250129.3,1511161.36
2025-12-01,17,1628519.76,703282.68,925237.08
2025-01-01,18,597550.88,115468.35,482082.53
2025-02-01,18,2304116.77,660638.58,1643478.19
2025-03-01,18,1282906.9,730678.01,552228.89
2025-04-01,18,852435.21,407114.12,445321.09
2025-05-01,18,1732660.6,637458.3,1095202.3
2025-06-01,18,1437249.3,205013.33,1232235.97
2025-07-01,18,651974.06,497247.14,154726.92
2025-08-01,18,1023305.17,166354.41,856950.76
2025-09-01,18,563809.45,679016.56,-115207.11
2025-10-01,18,279338.05,547242.09,-267904.04
2025-11-01,18,2090108.26,252422.4,1837685.86
2025-12-01,18,1824632.29,414814.14,1409818.15
