emp_id,date,status
934,2025-06-01,PL
934,2025-06-02,PL
934,2025-06-03,PL
934,2025-06-04,PL
934,2025-06-05,PL
934,2025-06-06,WFH
934,2025-06-07,A
934,2025-06-08,WFH
934,2025-06-09,A
934,2025-06-10,PL
934,2025-06-11,WFH
934,2025-06-12,P
934,2025-06-13,WFH
934,2025-06-14,P
934,2025-06-15,A
934,2025-06-16,P
934,2025-06-17,A
934,2025-06-18,PL
934,2025-06-19,A
934,2025-06-20,PL
934,2025-06-21,P
934,2025-06-22,P
934,2025-06-23,A
934,2025-06-24,PL
934,2025-06-25,P
934,2025-06-26,A
934,2025-06-27,P
934,2025-06-28,WFH
934,2025-06-29,WFH
934,2025-06-30,WFH
934,2025-07-01,WFH
934,2025-07-02,PL
934,2025-07-03,PL
934,2025-07-04,WFH
934,2025-07-05,P
934,2025-07-06,P
934,2025-07-07,WFH
934,2025-07-08,WFH
934,2025-07-09,PL
934,2025-07-10,P
934,2025-07-11,A
934,2025-07-12,WFH
934,2025-07-13,A
934,2025-07-14,A
934,2025-07-15,WFH
934,2025-07-16,WFH
934,2025-07-17,A
934,2025-07-18,PL
934,2025-07-19,WFH
934,2025-07-20,P
934,2025-07-21,PL
934,2025-07-22,A
934,2025-07-23,PL
934,2025-07-24,P
934,2025-07-25,WFH
934,2025-07-26,WFH
934,2025-07-27,A
934,2025-07-28,A
934,2025-07-29,A
934,2025-07-30,WFH
934,2025-07-31,P
934,2025-08-01,WFH
934,2025-08-02,WFH
934,2025-08-03,WFH
934,2025-08-04,A
934,2025-08-05,PL
934,2025-08-06,A
934,2025-08-07,A
934,2025-08-08,WFH
934,2025-08-09,PL
934,2025-08-10,WFH
934,2025-08-11,P
934,2025-08-12,PL
934,2025-08-13,WFH
934,2025-08-14,WFH
934,2025-08-15,P
934,2025-08-16,A
934,2025-08-17,A
934,2025-08-18,P
934,2025-08-19,WFH
934,2025-08-20,PL
934,2025-08-21,A
934,2025-08-22,PL
934,2025-08-23,A
934,2025-08-24,P
934,2025-08-25,WFH
934,2025-08-26,PL
