spend_id,campaign_id,channel,amount,clicks,conversions
1,217,Affiliate,145004.11,8440,5957
2,175,Meta,7228.08,7400,9196
3,201,TV,248742.52,32200,5484
4,225,OOH,104266.47,19241,3461
5,127,Meta,166686.55,33129,5267
6,226,Meta,48297.01,11440,388
7,37,Meta,5010.37,18761,8020
8,169,Email,109424.4,25548,1927
9,38,Google,226580.28,17055,3708
10,221,YouTube,105837.13,24266,7157
11,10,Affiliate,219823.28,38423,9430
12,155,Meta,142526.99,17141,9345
13,247,Google,143051.47,6730,7095
14,200,Email,199898.59,8799,5076
15,163,Print,178032.09,16530,6517
16,199,TV,174642.8,10717,1747
17,140,Email,232098.04,12730,8179
18,123,YouTube,118659.49,3720,5872
19,108,Meta,228202.97,44344,7981
20,110,Print,225818.42,32089,2287
21,10,OOH,7172.55,19808,1738
22,154,Email,13959.71,29942,9547
23,167,YouTube,102294.04,24112,3211
24,125,YouTube,113329.08,27557,2442
25,99,TV,225162.22,8894,1256
26,233,Meta,87515.52,11930,833
27,21,Print,244188.07,8934,127
28,96,Meta,157076.73,48289,5210
29,197,YouTube,150992.26,32370,1273
30,165,OOH,35130.11,28913,9317
31,194,Google,137520.95,18208,5410
32,197,Meta,96991.0,17924,715
33,53,Email,75370.52,47909,2124
34,144,YouTube,57538.89,33554,2889
35,66,TV,199254.33,44670,3246
36,191,Meta,189563.95,34972,8373
37,22,TV,94128.18,5715,7154
38,211,Email,82009.9,40575,8778
39,38,YouTube,31552.8,29329,7350
40,153,YouTube,245612.81,49732,4704
41,39,Meta,87998.69,20509,3638
42,240,TV,228646.72,17793,1221
43,17,Google,149244.48,24932,8576
44,234,Meta,220404.82,24162,4307
45,61,Meta,201799.0,33245,3962
46,245,TV,175688.84,29794,146
47,117,Google,49159.02,12456,1149
48,104,Affiliate,17013.5,23300,9209
49,146,Email,178194.77,16430,2065
50,77,YouTube,105238.21,19203,2728
51,169,Meta,220132.07,3930,6340
52,55,OOH,117709.07,35223,9954
53,180,OOH,35157.59,19141,8225
54,203,YouTube,216142.27,49535,122
55,62,YouTube,216122.24,8208,594
56,27,Meta,183927.57,9981,6602
57,155,Google,30505.52,44503,4520
58,128,Email,221623.3,14035,2068
59,223,Meta,113617.89,10526,8490
60,224,Print,189670.02,4473,7036
61,6,OOH,130398.79,37880,5467
62,248,Print,68198.8,160,3632
63,166,TV,44934.39,36710,5616
64,226,Google,12461.04,25966,9489
65,218,Print,211676.76,38414,5856
66,173,Meta,72809.92,2336,5308
67,69,Email,133063.03,17112,9096
