email_id,cust_id,campaign_id,sent_date,opened,clicked
1,19559,242,2025-09-29,True,True
2,36316,25,2025-08-03,False,True
3,37292,62,2024-08-08,True,False
4,3527,242,2025-06-14,False,True
5,21180,115,2024-07-01,False,True
6,8430,181,2024-01-21,False,True
7,45740,223,2024-03-08,False,False
8,10560,170,2024-06-11,True,True
9,48051,122,2024-04-29,True,False
10,49307,42,2024-02-20,False,False
11,27594,56,2025-09-02,True,False
12,8313,50,2025-04-24,True,False
13,7819,201,2024-02-23,True,True
14,40486,160,2024-01-19,True,False
15,33100,113,2025-02-07,True,True
16,1025,69,2024-03-24,False,False
17,11609,248,2024-04-18,False,True
18,22224,41,2024-02-04,False,False
19,23352,53,2025-01-22,False,True
20,46163,123,2025-01-19,False,True
21,43691,238,2025-01-25,True,False
22,20660,183,2024-11-27,True,True
23,26952,156,2024-03-19,True,False
24,34535,93,2024-05-03,True,True
25,34603,31,2024-03-23,False,False
26,3936,230,2024-03-24,True,False
27,6936,108,2024-01-26,True,True
28,33891,197,2024-07-27,False,False
29,33326,62,2025-01-01,True,True
30,29647,177,2025-05-26,True,False
31,43427,51,2024-05-31,True,True
32,1570,74,2025-03-20,False,True
33,22826,76,2025-08-08,False,True
34,49322,243,2024-08-17,False,True
35,40036,230,2025-09-04,True,False
36,17465,216,2024-11-19,False,False
37,27942,11,2025-05-10,True,True
38,9225,16,2025-04-02,False,True
39,18305,112,2025-01-06,True,False
40,5520,178,2024-05-24,True,False
41,11322,107,2025-03-11,True,True
42,27903,247,2024-10-23,False,False
43,5890,42,2024-02-04,False,True
44,22019,225,2025-07-14,True,False
45,9058,243,2025-07-04,True,True
46,42062,154,2024-03-29,True,False
47,31805,189,2024-11-08,True,False
48,7300,119,2025-03-01,True,False
49,13135,57,2024-01-28,True,True
50,795,197,2025-04-29,True,True
51,18606,187,2024-09-13,False,True
52,19690,166,2025-03-27,True,False
53,42409,39,2024-11-13,True,True
54,16343,149,2025-08-29,False,True
55,34086,88,2024-10-15,False,True
56,454,79,2024-07-19,True,False
57,13998,1,2024-06-01,True,False
58,48063,81,2025-07-24,True,False
59,36195,196,2024-07-13,False,True
60,22487,120,2024-01-17,False,True
61,36242,30,2025-03-08,False,False
62,30532,19,2024-03-13,False,False
63,40324,2,2024-10-02,False,True
64,42861,136,2025-05-22,False,True
65,38525,114,2024-07-28,False,False
66,35733,195,2024-12-18,True,False
67,12657,161,2024-08-24,False,False
68,39595,242,2024-07-15,False,False
69,23693,26,2025-01-18,True,True
70,34787,2,2024-02-26,False,True
71,41244,105,2025-04-25,True,True
72,13705,123,2024-11-29,False,True
73,41905,184,2024-01-03,True,False
74,44072,24,2024-05-03,True,False
75,4831,10,2024-09-24,False,True
76,25266,144,2024-02-16,False,True
77,38040,100,2024-10-27,False,True
78,3727,13,2025-02-16,True,True
79,43634,3,2025-01-13,False,False
80,1372,142,2024-12-03,False,True
81,41327,143,2024-03-26,True,True
82,15381,219,2024-06-04,True,True
83,6079,114,2024-01-24,True,False
84,40021,113,2025-01-23,False,False
85,41265,100,2024-05-26,False,True
86,26126,241,2025-09-13,False,True
87,45222,180,2025-07-08,True,True
88,24860,141,2025-01-05,True,True
89,10171,21,2024-07-21,True,True
90,49991,156,2024-07-29,False,True
91,24096,65,2025-07-31,False,False
92,5097,63,2025-02-24,False,True
93,21806,2,2025-06-18,False,True
94,2519,15,2024-10-15,True,True
95,45469,200,2025-05-02,True,False
96,17802,72,2025-08-07,False,True
97,43689,229,2025-09-19,True,True
98,48765,216,2024-12-12,False,True
99,30982,40,2025-06-25,True,False
100,9468,46,2024-06-22,True,True
101,36461,104,2025-05-19,False,False
102,38718,194,2025-01-13,True,False
103,43078,6,2025-07-12,True,True
104,7508,199,2025-06-08,False,True
105,38573,207,2025-03-23,True,False
106,27900,235,2024-10-02,False,True
107,26139,62,2025-04-04,True,False
108,48485,114,2025-03-22,True,True
109,11924,245,2025-01-10,True,False
110,35900,131,2025-09-21,True,True
111,14930,93,2025-02-12,True,True
112,47693,163,2025-01-26,True,False
113,47266,73,2024-02-10,False,True
114,34711,116,2025-03-19,False,True
115,15911,237,2024-07-15,True,True
116,48543,55,2025-01-28,False,True
117,1497,12,2025-06-12,True,False
118,36882,192,2024-09-16,True,True
119,42995,37,2024-05-05,False,False
120,20056,180,2024-12-10,True,False
121,9911,103,2024-09-18,False,True
122,4894,53,2025-04-12,False,False
123,17973,190,2025-02-07,True,False
124,41016,94,2024-09-05,True,True
125,28666,170,2024-10-08,True,False
126,43878,35,2025-01-10,True,True
127,26280,228,2024-07-03,False,True
128,24237,189,2025-07-24,True,False
129,15542,140,2024-05-18,False,True
130,12684,198,2024-06-26,True,True
131,13352,178,2025-01-06,True,True
132,8626,96,2024-10-01,True,False
133,45832,246,2025-01-07,True,False
134,38405,161,2025-01-10,False,False
135,19449,24,2025-09-07,True,False
136,33253,141,2024-12-27,False,False
137,15059,178,2025-04-13,True,True
138,34293,203,2024-09-07,False,False
139,46504,71,2025-08-21,True,False
140,31646,83,2025-04-27,False,True
141,35625,205,2025-07-19,True,True
142,9941,213,2024-07-22,True,False
143,8966,70,2024-02-17,False,True
144,42618,77,2024-08-08,True,False
145,21103,9,2024-06-15,False,False
146,31786,46,2025-03-26,False,False
147,20923,94,2024-02-12,True,True
148,41322,37,2024-06-11,False,False
149,41966,216,2024-11-12,True,True
150,15532,20,2025-08-11,True,True
151,42952,125,2024-11-19,False,False
152,40843,10,2024-05-10,False,True
153,16157,166,2025-02-25,False,False
154,8029,198,2024-10-31,False,True
155,40453,69,2024-06-07,True,True
156,31833,123,2024-05-13,True,False
157,38524,30,2025-04-12,True,True
158,28030,6,2024-08-01,False,True
159,44809,150,2024-02-26,False,False
160,47175,67,2024-04-14,True,False
161,49507,125,2024-07-02,True,False
162,43396,110,2024-07-17,False,True
163,26210,151,2025-03-10,True,False
164,22957,123,2024-02-17,True,False
165,39247,120,2025-07-24,True,True
166,11028,41,2024-02-13,True,True
167,10842,186,2024-12-07,False,True
168,25621,56,2024-05-28,True,False
169,32293,39,2025-07-25,False,False
170,8629,179,2024-04-12,True,False
171,38938,151,2024-08-12,False,True
172,44786,14,2025-08-17,True,False
173,47824,240,2024-07-19,False,False
174,43567,48,2024-01-02,False,False
175,18913,204,2024-04-08,False,False
176,6350,169,2025-01-03,True,False
177,14526,41,2024-06-09,True,True
178,1970,52,2024-09-28,True,True
179,5929,124,2025-01-16,False,False
180,31404,48,2025-07-17,False,False
181,32378,241,2025-02-16,True,True
182,33386,153,2025-02-16,False,True
183,38534,96,2024-07-01,True,False
184,33044,203,2025-04-10,False,True
185,8823,153,2024-06-09,False,False
186,19422,139,2025-06-08,False,True
187,28017,16,2024-04-18,False,False
188,10919,80,2025-04-12,True,True
189,4105,87,2024-06-14,True,False
190,27048,52,2025-09-16,True,True
191,4688,189,2025-06-30,False,False
192,46942,93,2024-05-01,True,False
193,36452,208,2024-01-19,True,False
194,12100,127,2024-07-04,False,True
195,9096,154,2025-03-25,True,True
196,19055,212,2025-04-25,False,False
197,39993,140,2024-02-29,False,False
198,34483,175,2024-02-08,True,True
199,46658,229,2024-08-27,True,False
200,48371,198,2025-02-16,False,False
201,44742,205,2024-09-15,True,True
202,29586,118,2025-01-11,False,True
203,42348,15,2025-03-19,False,False
204,21031,122,2024-12-28,False,False
205,13922,14,2024-07-19,False,True
206,21982,93,2025-01-25,True,False
207,24452,240,2025-01-24,True,True
208,38660,69,2025-09-29,True,False
