store_id,prod_id,stock_qty,last_updated
178,366,476,2025-02-01
100,1084,364,2025-05-04
28,650,69,2025-06-17
97,96,153,2025-02-28
47,1173,10,2025-05-19
139,169,100,2025-06-07
189,224,110,2025-02-06
27,1038,81,2025-01-26
128,964,43,2025-04-02
103,606,420,2025-07-30
40,569,404,2025-07-17
22,649,422,2025-04-23
6,687,378,2025-08-21
168,560,169,2025-06-20
133,166,84,2025-03-11
101,1074,435,2025-08-02
62,97,147,2025-04-29
106,840,4,2025-09-15
47,129,309,2025-05-08
42,601,7,2025-09-01
1,947,11,2025-01-05
60,919,389,2025-02-17
127,140,93,2025-07-31
178,837,467,2025-04-01
52,1063,250,2025-02-28
40,529,424,2025-09-23
10,372,201,2025-08-05
37,469,445,2025-08-22
57,786,331,2025-01-08
46,671,393,2025-02-20
182,318,242,2025-08-28
181,1205,368,2025-03-02
50,774,100,2025-07-21
104,70,442,2025-01-08
173,896,93,2025-09-09
77,421,42,2025-06-05
1,118,331,2025-09-14
149,935,398,2025-03-25
24,39,29,2025-09-15
200,573,390,2025-03-14
124,735,467,2025-03-31
96,1083,310,2025-08-10
98,566,450,2025-01-29
37,3,330,2025-06-25
154,1164,107,2025-01-03
23,783,86,2025-05-13
104,732,86,2025-08-31
75,859,3,2025-03-05
191,201,476,2025-04-06
115,756,350,2025-02-16
150,968,415,2025-05-17
131,652,212,2025-09-02
164,516,431,2025-09-22
83,339,255,2025-06-13
110,957,156,2025-01-11
177,880,323,2025-04-17
152,36,194,2025-05-19
13,358,343,2025-08-20
147,306,256,2025-08-09
152,1179,277,2025-09-11
163,921,129,2025-02-19
83,1174,96,2025-05-17
84,557,160,2025-09-14
182,1161,313,2025-05-22
109,131,130,2025-04-13
78,582,283,2025-03-16
25,659,493,2025-08-26
199,1061,57,2025-05-31
79,992,114,2025-08-05
51,1052,283,2025-04-30
40,358,429,2025-02-01
30,894,243,2025-05-02
30,838,271,2025-02-28
23,780,1,2025-01-15
168,84,66,2025-06-14
187,1042,155,2025-04-29
73,21,258,2025-01-16
37,693,303,2025-09-17
55,886,73,2025-02-23
128,398,430,2025-01-21
14,603,432,2025-04-30
70,167,82,2025-02-20
19,950,174,2025-03-22
115,1174,5,2025-09-16
61,1126,242,2025-07-12
28,353,180,2025-05-09
117,706,17,2025-05-05
121,872,491,2025-05-10
44,298,365,2025-07-28
62,1106,303,2025-09-04
118,913,197,2025-02-15
6,776,101,2025-01-01
94,496,136,2025-09-09
70,1090,246,2025-04-07
82,1162,246,2025-03-08
133,115,408,2025-02-17
130,1213,466,2025-06-15
119,353,27,2025-04-04
138,1060,459,2025-04-05
94,1188,27,2025-02-16
31,365,45,2025-02-07
49,718,234,2025-08-09
92,159,390,2025-05-14
173,446,329,2025-05-15
31,147,17,2025-01-15
40,1025,457,2025-08-01
167,739,84,2025-09-14
41,634,175,2025-05-06
60,327,261,2025-01-21
112,659,500,2025-10-01
39,895,309,2025-04-24
133,677,449,2025-03-09
26,1109,287,2025-06-30
33,52,20,2025-08-22
40,738,365,2025-08-11
186,1088,480,2025-01-25
120,152,167,2025-06-04
181,65,475,2025-02-07
78,1148,411,2025-01-05
143,58,49,2025-04-17
136,827,87,2025-05-10
1,339,250,2025-03-28
59,369,421,2025-03-04
125,332,382,2025-06-04
182,403,163,2025-02-01
155,942,346,2025-05-19
116,972,219,2025-05-19
168,910,137,2025-02-18
182,899,135,2025-05-24
67,1012,66,2025-06-12
155,626,305,2025-02-06
35,1083,430,2025-07-29
200,147,386,2025-08-10
54,818,473,2025-08-05
118,536,486,2025-06-29
47,908,376,2025-03-17
20,726,119,2025-03-01
127,854,369,2025-08-10
105,114,260,2025-03-24
190,396,344,2025-07-15
170,3,143,2025-02-09
182,863,470,2025-03-22
190,1107,240,2025-06-30
13,922,39,2025-08-27
187,678,483,2025-01-24
139,79,256,2025-08-15
113,847,269,2025-03-06
163,724,334,2025-03-14
186,595,214,2025-06-23
161,1149,189,2025-03-19
11,950,208,2025-05-01
156,258,285,2025-06-17
29,637,364,2025-02-11
71,1162,158,2025-08-27
126,864,111,2025-01-24
115,874,252,2025-04-06
21,719,379,2025-05-14
187,33,398,2025-09-03
184,971,61,2025-03-18
54,273,211,2025-09-04
128,569,376,2025-02-21
122,449,161,2025-06-17
73,1045,320,2025-01-06
97,1116,462,2025-01-11
171,374,228,2025-08-13
112,118,99,2025-05-13
4,344,335,2025-03-05
156,146,212,2025-03-30
179,56,489,2025-06-02
29,86,106,2025-07-05
162,385,447,2025-03-16
106,917,219,2025-04-22
49,370,243,2025-06-05
32,724,169,2025-08-22
21,447,442,2025-08-19
200,864,65,2025-05-03
31,1103,137,2025-01-03
58,18,481,2025-01-16
174,266,285,2025-06-16
27,892,73,2025-10-01
27,944,41,2025-06-25
17,576,147,2025-01-04
160,581,120,2025-05-02
93,1138,209,2025-02-03
44,223,19,2025-07-06
33,393,46,2025-01-10
83,955,336,2025-01-25
