expense_id,store_id,expense_date,expense_type,amount
1,138,2025-09-02,Utilities,135423.96
2,58,2024-05-21,Utilities,21505.51
3,31,2024-07-30,Rent,94078.06
4,118,2024-02-15,Marketing,169400.07
5,179,2024-10-03,Utilities,125004.04
6,187,2024-03-31,Rent,95895.79
7,192,2025-01-05,Marketing,69070.53
8,139,2024-05-17,Maintenance,171760.9
9,31,2024-04-30,Utilities,130120.26
10,77,2025-03-23,Marketing,36456.94
11,66,2024-06-22,Maintenance,135277.31
12,64,2025-03-25,Security,57730.56
13,50,2025-08-11,Misc,109048.55
14,87,2025-09-13,Maintenance,156765.88
15,8,2025-09-20,Rent,142845.32
16,190,2024-05-28,Utilities,158189.24
17,45,2024-06-10,Misc,68443.96
18,79,2024-11-28,Security,96663.02
19,147,2024-10-25,Security,66613.25
20,157,2024-06-29,Utilities,172932.62
21,128,2024-04-28,Maintenance,52151.69
22,75,2025-07-22,Maintenance,139520.66
23,117,2024-11-27,Maintenance,123381.94
24,147,2024-08-23,Rent,150474.06
25,89,2024-03-21,Rent,111963.28
26,53,2024-04-26,Utilities,101933.73
27,37,2024-11-17,Marketing,181522.03
28,160,2025-02-24,Rent,147018.03
29,93,2024-06-26,Utilities,24624.98
30,156,2024-06-02,Utilities,100480.94
31,43,2025-09-20,Marketing,113340.39
32,143,2024-07-28,Rent,135965.94
33,198,2024-02-09,Security,161806.64
34,133,2024-12-31,Misc,42557.0
35,66,2024-05-10,Utilities,111459.47
36,107,2025-07-05,Misc,3790.35
37,89,2024-03-09,Maintenance,127657.65
38,67,2024-02-22,Maintenance,5783.66
39,99,2024-08-16,Rent,118400.53
40,104,2024-04-29,Maintenance,41207.84
41,62,2024-06-11,Misc,75645.27
42,56,2024-06-13,Marketing,54186.07
43,6,2024-05-18,Security,144094.01
44,13,2025-05-27,Security,145571.95
45,138,2024-03-29,Misc,142234.26
46,26,2025-05-05,Misc,135244.41
47,25,2024-08-26,Misc,149994.98
48,155,2025-09-18,Marketing,176333.24
49,150,2024-06-05,Misc,76858.13
50,80,2024-01-27,Marketing,176822.66
51,57,2024-03-10,Misc,38155.93
52,23,2024-10-03,Misc,126333.18
53,143,2025-01-12,Security,172531.75
54,103,2024-01-12,Maintenance,44168.16
55,121,2024-03-10,Utilities,109308.91
56,33,2024-08-09,Marketing,197939.03
57,39,2025-06-19,Utilities,157110.29
58,111,2024-05-16,Maintenance,158273.2
59,172,2025-08-19,Security,125911.71
60,170,2025-04-21,Utilities,26755.84
61,168,2024-06-18,Misc,153038.06
62,28,2024-03-15,Marketing,121970.53
63,2,2025-01-28,Security,68937.51
64,31,2024-12-26,Marketing,198753.98
65,165,2024-03-17,Misc,155073.35
66,127,2024-07-05,Rent,86450.98
67,125,2024-07-31,Misc,100385.51
68,106,2024-01-18,Security,45456.71
69,64,2024-08-09,Utilities,83577.79
70,29,2024-10-28,Misc,66911.34
71,118,2025-03-14,Rent,195713.77
72,19,2024-01-12,Security,20371.35
73,200,2024-02-04,Rent,122466.96
74,48,2024-10-09,Maintenance,120741.59
75,11,2024-11-16,Rent,168189.52
76,85,2024-04-04,Maintenance,63422.15
77,63,2024-02-17,Marketing,164597.71
78,165,2025-08-25,Rent,102917.73
79,179,2024-11-21,Security,26253.6
80,115,2024-03-07,Security,79182.41
81,115,2025-03-30,Misc,45103.88
82,60,2025-04-05,Marketing,50938.04
83,68,2024-11-16,Marketing,100721.51
84,77,2024-08-02,Marketing,45000.66
85,110,2024-06-08,Maintenance,185121.43
86,11,2025-06-18,Maintenance,176683.44
87,165,2024-09-06,Maintenance,154779.57
88,71,2025-04-25,Marketing,88170.38
89,42,2025-08-16,Misc,176276.88
90,58,2024-12-17,Rent,174174.15
91,153,2024-01-19,Marketing,25641.5
92,94,2025-08-03,Rent,156907.28
93,8,2024-07-11,Security,80859.18
94,82,2024-06-13,Security,62975.9
95,18,2024-11-18,Security,119014.04
96,52,2024-12-29,Marketing,79737.25
97,20,2024-02-02,Rent,77843.13
98,179,2025-01-10,Marketing,44312.05
99,24,2024-11-29,Rent,70355.18
100,113,2025-07-18,Marketing,62682.92
101,19,2024-11-20,Maintenance,38583.02
102,81,2025-03-30,Misc,78270.31
103,152,2024-11-04,Marketing,113374.53
104,56,2024-09-10,Maintenance,182513.43
105,112,2025-04-20,Marketing,70918.92
106,69,2025-02-05,Security,166273.38
107,154,2025-01-27,Security,8043.69
108,46,2024-12-02,Marketing,183801.07
109,157,2025-06-18,Rent,167956.41
110,64,2025-07-05,Security,59340.84
111,175,2025-07-17,Security,125552.34
112,128,2025-04-30,Rent,181009.59
113,26,2025-05-26,Utilities,101297.38
114,6,2025-05-20,Security,26145.51
115,112,2024-09-01,Security,101008.53
116,176,2024-04-20,Misc,134784.46
117,158,2025-07-09,Security,96630.02
118,155,2025-04-24,Marketing,103669.04
119,3,2025-03-23,Utilities,135352.94
120,65,2025-07-30,Marketing,137973.85
121,11,2025-07-10,Security,44507.67
122,199,2024-05-29,Misc,52349.84
123,90,2024-05-16,Security,83398.8
124,50,2024-01-17,Maintenance,187362.91
125,132,2025-06-16,Rent,3120.95
126,99,2025-06-29,Misc,140199.57
127,74,2024-09-14,Utilities,62975.06
128,101,2025-09-06,Rent,84902.51
129,52,2024-12-03,Rent,167884.41
130,70,2024-03-28,Marketing,84179.97
131,128,2025-06-30,Misc,175484.81
132,200,2025-05-12,Security,179386.23
133,76,2024-01-17,Utilities,190675.67
134,30,2024-10-25,Marketing,38664.46
135,39,2025-09-01,Marketing,175183.46
136,137,2025-02-24,Rent,158254.85
137,51,2025-09-20,Maintenance,30989.55
138,195,2024-08-15,Utilities,106171.41
139,149,2025-08-10,Maintenance,93599.91
140,169,2024-01-01,Marketing,152993.24
141,163,2025-04-25,Misc,75709.43
142,37,2025-06-25,Maintenance,118084.06
143,122,2024-07-01,Rent,52030.36
144,97,2024-04-25,Utilities,40398.16
145,17,2024-05-31,Utilities,101962.18
146,97,2024-08-04,Maintenance,150620.47
147,199,2024-05-12,Utilities,198030.24
148,91,2024-12-19,Misc,163265.75
149,79,2025-06-12,Marketing,19477.22
150,61,2024-10-09,Security,69639.62
151,30,2025-06-14,Maintenance,17368.02
152,65,2025-01-18,Security,50538.23
153,190,2024-06-16,Security,148176.34
154,154,2025-01-15,Security,156062.7
155,49,2024-10-25,Rent,78161.16
156,108,2024-05-12,Maintenance,121696.8
157,97,2024-09-02,Security,111472.27
158,197,2025-09-13,Utilities,53901.13
159,172,2024-05-16,Misc,139009.04
160,14,2025-03-10,Marketing,110980.0
161,14,2025-05-04,Misc,170779.75
162,155,2024-09-30,Rent,21879.05
163,126,2025-05-12,Rent,15875.51
164,188,2025-05-02,Rent,78964.04
165,191,2024-06-10,Misc,161939.69
166,23,2024-10-11,Utilities,44657.16
167,168,2025-08-14,Security,129799.07
168,136,2025-08-21,Utilities,173821.85
169,193,2025-07-06,Utilities,105867.35
170,140,2025-07-16,Rent,55154.56
171,120,2024-10-17,Security,116437.02
172,64,2024-05-13,Marketing,128145.7
173,151,2024-09-11,Misc,135273.1
174,160,2025-02-16,Misc,70670.2
175,181,2024-11-12,Misc,193914.99
176,188,2024-05-30,Rent,20131.4
177,83,2024-06-17,Rent,8396.21
178,47,2024-10-28,Marketing,88842.9
179,40,2024-10-28,Marketing,14250.2
180,25,2024-09-04,Misc,44763.03
181,84,2024-03-07,Marketing,101596.41
182,46,2024-10-24,Misc,147034.72
183,119,2025-07-10,Misc,115975.18
184,160,2024-10-10,Maintenance,5293.72
185,193,2025-05-09,Marketing,145627.97
186,12,2024-09-05,Utilities,111987.81
187,150,2024-09-20,Misc,192887.73
188,88,2025-08-04,Rent,136224.29
189,161,2024-07-27,Marketing,95436.59
190,54,2024-07-26,Marketing,167266.61
191,42,2025-02-21,Misc,143056.42
192,148,2025-05-27,Marketing,170359.27
193,13,2024-08-11,Marketing,103297.2
194,164,2024-04-09,Marketing,145060.63
195,154,2025-04-23,Misc,8956.91
196,111,2025-05-29,Misc,70952.35
197,54,2025-04-03,Misc,1412.67
198,175,2025-03-21,Maintenance,183847.91
199,161,2025-04-18,Marketing,84658.76
200,192,2024-10-06,Misc,181179.79
201,174,2024-04-20,Rent,145215.93
202,26,2024-05-12,Security,160941.01
203,153,2024-06-22,Marketing,6138.71
204,194,2025-02-16,Maintenance,100577.22
205,68,2025-06-14,Misc,32834.62
206,17,2025-03-20,Marketing,183397.56
207,95,2025-04-03,Security,159008.83
208,156,2024-10-28,Maintenance,139348.65
209,158,2025-08-01,Utilities,73637.61
210,196,2025-05-26,Misc,91243.52
211,78,2024-10-25,Marketing,29110.48
212,99,2024-07-19,Rent,60371.06
213,198,2025-05-31,Maintenance,193834.0
214,86,2025-04-14,Marketing,36895.16
215,176,2025-06-03,Utilities,23296.94
216,64,2024-06-27,Security,43203.21
217,20,2024-12-16,Rent,65415.01
218,107,2025-01-13,Rent,178599.47
219,63,2025-06-07,Rent,76114.88
220,198,2024-12-19,Marketing,53435.64
221,183,2024-10-15,Maintenance,73693.91
222,25,2025-08-15,Misc,12746.91
223,148,2024-04-27,Marketing,25787.2
224,106,2025-07-19,Marketing,69734.42
225,88,2024-03-22,Rent,62531.84
226,77,2025-08-04,Marketing,197838.95
227,5,2025-03-24,Maintenance,132303.55
228,191,2025-03-07,Maintenance,102974.46
229,82,2025-08-03,Rent,72813.65
230,162,2024-08-27,Rent,131802.79
231,151,2024-11-28,Utilities,158765.95
232,139,2024-10-20,Marketing,83588.09
233,135,2025-06-03,Security,162070.54
234,21,2024-08-22,Rent,152904.09
235,79,2024-07-21,Misc,24877.3
236,5,2024-03-20,Misc,86086.57
237,119,2024-08-09,Marketing,197972.74
238,199,2024-09-14,Marketing,86821.21
239,39,2024-12-26,Misc,103461.81
240,134,2025-01-10,Maintenance,11202.59
241,132,2024-02-06,Marketing,125946.32
242,172,2025-08-01,Utilities,169309.07
243,199,2025-07-04,Misc,140261.09
244,102,2025-05-10,Utilities,10131.93
245,197,2024-09-20,Marketing,178836.31
246,176,2024-09-30,Maintenance,150688.54
247,2,2024-03-20,Security,160555.09
248,172,2025-03-15,Rent,32049.34
