change_id,table_name,record_id,column_name,old_value,new_value,changed_by,changed_at,action
1,products,2552,price,4519.36,4660.81,235,2024-03-30 17:49:50,UPDATE
2,employees,1632,salary,30549,32880,2254,2024-11-06 22:14:51,UPDATE
3,products,23,price,773.9,835.04,1001,2024-01-11 11:42:20,UPDATE
4,employees,2356,salary,70155,79729,693,2024-09-11 04:33:53,UPDATE
5,products,1767,price,3318.7,3090.57,270,2024-03-13 16:44:33,UPDATE
6,products,4625,price,2826.11,2760.67,2379,2025-08-03 00:24:02,UPDATE
7,products,3067,price,4032.41,4218.23,1282,2024-03-06 14:16:30,UPDATE
8,products,3119,price,2257.48,2035.04,2218,2026-02-12 12:51:27,UPDATE
9,employees,1840,salary,71724,81754,2547,2024-04-22 23:11:52,UPDATE
10,products,5017,price,2712.15,2937.39,1874,2024-08-21 20:57:42,UPDATE
11,products,4003,price,4522.63,4967.39,638,2025-12-19 11:15:55,UPDATE
12,products,772,price,1379.19,1505.02,1868,2025-10-21 16:04:46,UPDATE
13,employees,2563,salary,79612,89051,1691,2026-01-22 12:51:03,UPDATE
14,products,530,price,2284.68,2502.82,1303,2025-12-16 13:28:05,UPDATE
15,products,3476,price,1701.21,1699.99,2855,2026-02-26 22:21:20,UPDATE
16,products,4167,price,2290.73,2104.03,24,2025-10-17 08:42:46,UPDATE
17,products,5602,price,2792.69,2915.59,1421,2024-01-04 07:58:49,UPDATE
18,employees,1407,salary,73181,87146,1094,2024-12-05 01:18:10,UPDATE
19,products,682,price,1887.22,2028.71,2512,2024-05-30 12:11:52,UPDATE
20,employees,1211,salary,30277,33866,2071,2025-09-20 03:07:05,UPDATE
21,products,5796,price,1498.83,1498.88,2049,2025-11-09 19:16:58,UPDATE
22,products,2922,price,4397.65,4165.85,2265,2025-10-09 16:52:38,UPDATE
23,employees,2732,salary,77887,89690,1039,2025-01-21 04:55:50,UPDATE
24,products,4533,price,4462.21,4899.81,497,2024-10-07 17:29:29,UPDATE
25,products,3129,price,4883.35,4575.32,29,2025-01-16 13:33:19,UPDATE
26,products,1535,price,1912.57,2036.01,2272,2024-08-24 07:17:24,UPDATE
27,employees,433,salary,57041,66317,1978,2025-09-01 17:41:28,UPDATE
28,products,2699,price,3845.95,3759.61,1371,2025-06-20 07:53:53,UPDATE
29,products,3213,price,4708.36,4936.13,282,2025-01-13 18:58:15,UPDATE
30,products,4884,price,1672.89,1776.75,1346,2024-12-16 07:25:39,UPDATE
31,products,1995,price,4490.74,4045.69,1886,2024-08-30 07:36:57,UPDATE
32,products,3606,price,911.89,859.86,2935,2025-04-15 01:50:18,UPDATE
33,products,918,price,1739.48,1875.56,1364,2025-10-01 05:50:27,UPDATE
34,products,2170,price,1837.19,1665.13,2082,2025-06-02 20:09:49,UPDATE
35,products,5227,price,4476.5,4244.5,866,2024-02-01 02:11:59,UPDATE
36,products,4774,price,3675.91,3325.18,2219,2025-03-15 16:31:54,UPDATE
37,employees,533,salary,63780,72963,84,2025-08-14 10:31:56,UPDATE
38,employees,169,salary,58377,68653,1011,2026-01-08 22:53:38,UPDATE
39,employees,1112,salary,72737,78311,2186,2024-11-29 19:54:56,UPDATE
40,products,1742,price,842.31,901.62,2680,2024-05-02 05:05:55,UPDATE
41,products,998,price,4421.69,4195.32,1925,2024-05-16 02:08:52,UPDATE
42,products,441,price,1959.94,1831.93,1760,2024-12-22 07:06:37,UPDATE
43,products,20,price,2220.15,2040.75,440,2024-08-03 14:22:50,UPDATE
44,products,3555,price,4069.17,3710.85,2453,2025-01-06 06:43:11,UPDATE
45,employees,52,salary,63333,71672,2728,2026-01-04 00:38:48,UPDATE
46,products,3076,price,2992.37,3168.53,2883,2025-08-28 22:34:27,UPDATE
47,products,3061,price,4438.83,4366.72,1819,2025-12-05 17:56:12,UPDATE
48,products,1938,price,1521.41,1394.86,618,2024-01-22 05:17:07,UPDATE
49,products,4559,price,1508.63,1542.56,46,2025-09-18 17:10:15,UPDATE
50,employees,1368,salary,60721,65881,2112,2024-06-12 22:26:25,UPDATE
51,products,469,price,4807.5,4881.31,237,2026-01-07 14:40:23,UPDATE
52,products,2008,price,115.98,109.28,955,2024-07-20 21:10:43,UPDATE
53,employees,1540,salary,69080,74747,2685,2024-01-19 21:11:39,UPDATE
54,products,2605,price,4506.44,4673.95,2624,2025-07-16 03:33:31,UPDATE
55,employees,2660,salary,46244,55277,2226,2025-04-21 09:14:18,UPDATE
56,products,3007,price,1862.36,1990.55,669,2024-10-12 21:42:35,UPDATE
57,products,1194,price,1291.75,1221.57,2146,2024-01-15 12:05:34,UPDATE
58,products,4508,price,2439.3,2238.67,1577,2025-11-01 02:11:06,UPDATE
59,products,4631,price,2763.97,2823.3,273,2024-12-10 16:46:37,UPDATE
60,products,2774,price,3833.67,3811.17,265,2024-09-15 03:13:22,UPDATE
61,products,1540,price,3388.44,3121.56,833,2025-12-28 19:34:51,UPDATE
62,employees,2606,salary,39414,41846,1779,2026-01-20 11:08:03,UPDATE
63,employees,2682,salary,33071,37223,2722,2024-05-06 06:45:44,UPDATE
64,products,1065,price,2370.31,2287.2,367,2025-05-26 21:56:22,UPDATE
65,employees,924,salary,75735,85321,2596,2025-04-24 15:27:27,UPDATE
66,employees,640,salary,62425,73538,789,2024-03-25 00:30:56,UPDATE
67,products,2839,price,2224.87,2344.04,494,2025-03-26 10:24:09,UPDATE
68,products,270,price,816.9,823.91,2870,2025-07-30 12:45:22,UPDATE
69,employees,1569,salary,62343,68165,1779,2025-01-09 01:02:51,UPDATE
70,products,5297,price,3353.97,3128.03,67,2024-03-11 09:59:10,UPDATE
71,employees,1561,salary,77319,84280,1223,2024-08-18 17:28:56,UPDATE
72,employees,289,salary,73548,78097,52,2025-11-09 04:29:46,UPDATE
73,products,5010,price,2791.92,3005.49,1421,2025-12-21 20:45:55,UPDATE
74,products,1199,price,1973.95,2016.58,2217,2025-03-09 09:48:38,UPDATE
75,products,5996,price,989.79,1002.61,2049,2025-10-17 22:59:30,UPDATE
76,products,1230,price,713.56,690.47,1465,2024-02-28 09:15:43,UPDATE
77,employees,2951,salary,47877,56905,347,2025-08-05 18:11:03,UPDATE
78,employees,2370,salary,41065,44889,1727,2025-12-01 19:42:05,UPDATE
79,employees,1927,salary,56727,59671,1899,2024-02-16 07:02:03,UPDATE
80,products,467,price,4722.75,4648.23,2010,2026-01-30 22:35:56,UPDATE
81,products,2992,price,875.4,834.11,249,2025-04-09 04:52:43,UPDATE
82,employees,1902,salary,54778,62759,261,2025-12-09 22:44:05,UPDATE
83,employees,1126,salary,72247,86363,2507,2025-09-23 07:43:23,UPDATE
84,employees,2675,salary,40527,46803,1957,2024-11-07 09:53:19,UPDATE
85,products,798,price,2832.2,3084.62,2718,2024-01-25 12:37:50,UPDATE
86,products,749,price,4351.87,4016.73,1637,2024-01-13 22:31:59,UPDATE
