call_id,customer_id,agent_id,call_start_time,call_duration_seconds,call_reason,status
1,7418,242,2025-06-06 20:11:53.322867,754,Return/Refund,Pending
2,20054,1425,2025-05-23 06:38:23.602628,958,Return/Refund,Escalated
3,31111,668,2026-01-18 08:36:28.375500,1654,Order Inquiry,Pending
4,3149,430,2025-09-19 11:13:59.951106,1096,Return/Refund,Pending
5,13097,1973,2025-04-24 20:29:14.566432,1235,Order Inquiry,Escalated
6,41221,888,2025-08-26 15:06:38.756118,1345,Return/Refund,Pending
7,40506,2303,2025-06-26 10:32:39.577673,1222,Complaint,Escalated
8,43,2019,2026-01-26 12:31:35.766244,1168,Return/Refund,Escalated
9,12020,2166,2025-03-30 19:17:39.275009,329,Return/Refund,Escalated
10,4324,2019,2026-02-07 14:33:35.522202,1416,Return/Refund,Escalated
11,39083,19,2025-11-20 20:32:21.778688,1623,Return/Refund,Pending
12,21982,369,2025-11-26 14:58:53.908837,759,Product Question,Escalated
13,44409,2166,2025-06-06 14:55:43.035419,1661,Return/Refund,Pending
14,2275,4,2025-12-18 07:54:03.244213,1770,Product Question,Escalated
15,9263,1881,2025-07-18 17:26:40.368549,1684,Return/Refund,Dropped
16,3580,2448,2025-06-21 05:22:02.067324,1436,Product Question,Escalated
17,6438,1204,2025-11-30 10:40:47.409918,590,Return/Refund,Dropped
18,10475,1881,2025-08-08 17:59:33.579275,314,Complaint,Escalated
19,35372,1053,2025-09-18 06:02:01.456720,599,Complaint,Dropped
20,23657,1096,2026-02-18 22:51:22.468084,979,Return/Refund,Dropped
21,18061,791,2026-02-05 18:13:07.522072,1648,Product Question,Dropped
22,37303,688,2025-06-09 11:30:51.323355,582,Account Access,Dropped
23,18802,529,2026-01-20 19:06:29.262503,1393,Order Inquiry,Pending
24,43536,1262,2026-02-25 09:13:42.453694,878,Return/Refund,Resolved
25,1938,2605,2025-06-29 15:18:03.049351,447,Product Question,Dropped
26,25207,2386,2025-08-09 05:42:04.569993,566,Order Inquiry,Pending
27,6569,605,2025-08-21 15:29:22.648774,1348,Account Access,Dropped
28,28669,125,2026-02-12 11:13:30.830296,673,Complaint,Resolved
29,42757,2100,2025-09-11 23:00:32.753563,1257,Return/Refund,Resolved
30,32732,1799,2025-05-04 23:34:17.934534,897,Billing Issue,Resolved
31,30516,1870,2025-06-11 17:25:07.441304,1633,Complaint,Escalated
32,23441,240,2025-09-24 12:10:37.005404,1008,Order Inquiry,Pending
33,47811,548,2025-07-30 13:53:08.869848,1065,Order Inquiry,Resolved
34,1921,967,2025-09-29 23:03:59.472674,1068,Product Question,Resolved
35,40427,1018,2025-07-16 13:13:32.977515,1478,Account Access,Escalated
36,37848,1799,2025-11-26 13:06:32.556790,206,Billing Issue,Resolved
37,31762,1605,2025-03-09 20:30:59.960534,457,Order Inquiry,Pending
38,30607,1421,2025-09-09 00:08:38.098601,1592,Order Inquiry,Escalated
39,15370,1421,2025-07-07 20:27:00.961284,79,Account Access,Escalated
40,23776,1922,2025-09-25 05:17:22.501278,1462,Return/Refund,Pending
41,33572,1069,2025-08-11 15:36:54.390702,1520,Complaint,Escalated
42,33851,1605,2025-09-12 06:34:43.146814,418,Product Question,Resolved
43,1176,1934,2025-03-31 06:24:39.928822,562,Return/Refund,Escalated
44,46615,2395,2025-10-07 14:27:45.012742,1766,Product Question,Escalated
45,15821,1478,2025-09-05 12:33:27.046424,201,Order Inquiry,Pending
46,6388,369,2025-12-10 19:55:27.251507,510,Complaint,Pending
47,42087,336,2025-10-30 08:51:45.860419,70,Complaint,Pending
48,44185,799,2025-07-30 16:18:52.560959,974,Complaint,Pending
49,13069,2794,2025-03-02 03:19:09.644767,1002,Complaint,Pending
50,27056,1262,2025-08-05 13:03:07.462682,251,Account Access,Escalated
51,2980,2466,2025-05-03 10:57:53.850982,260,Order Inquiry,Escalated
52,44806,616,2026-02-22 23:52:59.320843,1102,Product Question,Escalated
53,4808,118,2025-07-06 06:31:55.783097,1176,Billing Issue,Resolved
54,41990,2767,2026-01-28 02:11:15.096339,97,Account Access,Pending
55,4541,326,2025-09-09 14:14:55.493741,271,Return/Refund,Escalated
56,22012,2019,2025-06-04 22:27:48.980822,785,Order Inquiry,Escalated
57,44131,1745,2025-11-17 08:00:08.687382,1709,Product Question,Dropped
58,45462,2875,2025-06-14 14:09:43.821568,350,Billing Issue,Pending
