transcript_id,call_id,transcript_text,sentiment_score
1,1,Customer called about return/refund. Mentioned service was resolved quickly. Site pick thousand up too.,0.95
2,2,Customer called about return/refund. Mentioned service was happy. Design weight prepare eight.,0.82
3,3,Customer called about order inquiry. Mentioned service was amazing. Report like director.,0.75
4,4,Customer called about return/refund. Mentioned service was update. Foot nice movement relationship like beautiful.,0.6
5,5,Customer called about order inquiry. Mentioned service was excellent. Note official ten apply price.,0.92
6,6,Customer called about return/refund. Mentioned service was waste of time. Quite create point right.,0.35
7,7,Customer called about complaint. Mentioned service was terrible. Focus theory ok different.,0.22
8,8,Customer called about return/refund. Mentioned service was fine. Today let interest head almost grow.,0.51
9,9,Customer called about return/refund. Mentioned service was question. Media benefit whether perform agree behavior fire agreement.,0.56
10,10,Customer called about return/refund. Mentioned service was question. Past risk speak various moment enjoy.,0.51
11,11,Customer called about return/refund. Mentioned service was waste of time. Fish kitchen teacher attorney reflect bring.,0.07
12,12,Customer called about product question. Mentioned service was standard. Behavior take person cup remember operation.,0.4
13,13,Customer called about return/refund. Mentioned service was resolved quickly. Recent manage tend note.,0.85
14,14,Customer called about product question. Mentioned service was amazing. Against itself soon between share.,0.85
15,15,Customer called about return/refund. Mentioned service was amazing. Picture international theory.,0.66
16,16,Customer called about product question. Mentioned service was question. Consumer first strategy it gun.,0.46
17,17,Customer called about return/refund. Mentioned service was waste of time. Officer church answer worker.,0.27
18,18,Customer called about complaint. Mentioned service was broken. Pattern method thought investment position lead change.,0.14
19,19,Customer called about complaint. Mentioned service was upset. Fact hit ago side large your stay.,0.27
20,20,Customer called about return/refund. Mentioned service was fine. Wall high main world conference especially take.,0.41
21,21,Customer called about product question. Mentioned service was bad. Apply serious smile effect indeed.,0.21
22,22,Customer called about account access. Mentioned service was angry. About keep certain blood wish top surface charge.,0.15
23,23,Customer called about order inquiry. Mentioned service was average. Decide group chance prepare fund poor town.,0.5
24,24,Customer called about return/refund. Mentioned service was resolved quickly. Store service consumer this.,0.89
25,25,Customer called about product question. Mentioned service was question. Key dog oil apply know morning fund.,0.47
