region_id,region_name,country,state
1,North East,India,Rajasthan
2,North,India,Bihar
3,North,India,Andhra Pradesh
4,North East,India,Telangana
5,East,India,Himachal Pradesh
6,South,India,Haryana
7,South,India,Chhattisgarh
8,South,India,Sikkim
9,North East,India,Nagaland
10,North,India,Assam
11,North East,India,Odisha
12,North East,India,Maharashtra
13,Central,India,Arunachal Pradesh
14,North,India,Gujarat
15,Central,India,Mizoram
16,West,India,Punjab
17,North,India,Tamil Nadu
18,North,India,Manipur
19,North,India,Uttar Pradesh
20,South,India,West Bengal
