expense_id,expense_date,exp_cat_id,amount,description
1,2024-11-15,5,37409.99,Software expense engineer best-of-breed bandwidth
2,2025-01-30,8,899229.97,Payroll expense cultivate customized bandwidth
3,2026-02-11,6,23458.38,Travel expense mesh sticky e-services
4,2025-07-23,10,811501.77,Taxes expense seize B2C portals
5,2024-09-29,8,885359.82,Payroll expense engineer customized infrastructures
6,2024-06-28,14,72467.13,Events expense brand ubiquitous experiences
7,2025-07-12,5,8960.7,Software expense engineer B2C vortals
8,2024-01-07,15,7681.98,Miscellaneous expense productize distributed relationships
9,2024-03-26,6,40509.39,Travel expense maximize real-time methodologies
10,2026-01-22,5,27671.06,Software expense repurpose 24/365 technologies
11,2024-08-08,5,50887.19,Software expense whiteboard sticky architectures
12,2024-07-09,4,99078.11,Marketing expense seize cross-media systems
13,2024-11-21,6,29592.4,Travel expense synergize efficient initiatives
14,2025-02-01,11,29020.91,Logistics expense integrate B2B partnerships
15,2024-09-12,12,206274.46,R&D expense e-enable killer networks
16,2025-07-11,1,251732.34,Rent expense innovate seamless mindshare
17,2025-06-03,8,769021.28,Payroll expense architect out-of-the-box e-services
18,2025-02-26,7,1587.2,Office Supplies expense re-intermediate integrated infrastructures
19,2025-06-09,11,17414.57,Logistics expense utilize virtual e-business
20,2025-08-19,14,150022.09,Events expense streamline impactful paradigms
21,2025-10-15,1,78990.83,Rent expense matrix proactive systems
22,2024-08-29,4,373678.86,Marketing expense strategize synergistic convergence
23,2024-12-11,15,4633.58,Miscellaneous expense transition scalable networks
24,2024-12-11,13,5868.71,Training expense monetize customized methodologies
25,2025-04-02,15,8518.12,Miscellaneous expense whiteboard end-to-end solutions
26,2024-04-07,13,2366.04,Training expense synthesize one-to-one relationships
27,2024-10-09,15,1046.18,Miscellaneous expense reinvent one-to-one web services
28,2025-09-20,6,32287.03,Travel expense disintermediate cross-platform convergence
29,2024-12-09,12,497235.36,R&D expense envisioneer interactive e-tailers
30,2024-07-29,1,344590.04,Rent expense implement sticky e-tailers
31,2025-03-23,11,19443.4,Logistics expense generate front-end partnerships
32,2025-04-09,1,408581.93,Rent expense engineer clicks-and-mortar experiences
33,2024-06-25,3,33449.7,Maintenance expense deploy web-enabled markets
34,2025-05-10,8,1406905.82,Payroll expense engage distributed initiatives
35,2025-11-23,5,59454.16,Software expense cultivate bricks-and-clicks platforms
36,2024-09-26,6,32296.88,Travel expense deploy user-centric communities
37,2024-09-07,6,49828.2,Travel expense facilitate transparent methodologies
