redemption_id,customer_id,reward_name,points_redeemed,redemption_date
1,22457,Free Shipping Voucher,200,2025-07-15
2,38909,Product Discount,500,2024-11-09
3,31452,Gift Card $10,1000,2025-12-31
4,26578,Free Shipping Voucher,200,2024-05-28
5,28260,Product Discount,500,2024-10-27
6,48606,Free Shipping Voucher,200,2024-03-12
7,41484,Product Discount,500,2025-05-09
8,24966,Gift Card $10,1000,2026-02-03
9,5624,Gift Card $10,1000,2024-05-15
10,48398,Product Discount,500,2024-03-17
11,48775,Gift Card $10,1000,2024-07-11
12,6065,Gift Card $10,1000,2026-01-08
13,16036,Product Discount,500,2025-08-16
14,5596,Gift Card $10,1000,2024-10-06
15,38553,Gift Card $50,5000,2025-04-02
16,18476,Product Discount,500,2025-12-09
17,37771,Gift Card $10,1000,2025-03-01
18,735,Gift Card $10,1000,2025-06-14
19,16711,Free Shipping Voucher,200,2024-09-09
20,35033,Gift Card $10,1000,2024-09-06
21,4869,Gift Card $50,5000,2025-11-16
22,33511,Free Shipping Voucher,200,2025-07-11
23,4155,Gift Card $50,5000,2025-04-20
24,15319,Product Discount,500,2025-01-21
25,28917,Gift Card $10,1000,2024-08-16
26,29150,Gift Card $10,1000,2024-12-13
27,17545,Gift Card $50,5000,2025-12-17
28,31495,Product Discount,500,2025-03-22
29,7819,Gift Card $50,5000,2025-01-16
30,16705,Gift Card $10,1000,2025-02-16
31,12493,Gift Card $10,1000,2025-03-08
32,7133,Gift Card $50,5000,2024-10-25
33,18068,Gift Card $50,5000,2025-02-16
34,33819,Product Discount,500,2025-11-19
35,39313,Gift Card $10,1000,2025-01-12
36,4615,Product Discount,500,2024-10-22
37,48278,Free Shipping Voucher,200,2026-01-30
38,7017,Product Discount,500,2025-02-14
39,5634,Free Shipping Voucher,200,2025-02-07
40,20432,Gift Card $10,1000,2025-02-17
41,11123,Gift Card $10,1000,2024-09-29
42,44260,Product Discount,500,2025-01-04
43,30881,Gift Card $10,1000,2024-06-22
44,38345,Free Shipping Voucher,200,2024-12-08
45,26469,Free Shipping Voucher,200,2025-03-29
46,13867,Free Shipping Voucher,200,2025-06-17
47,5905,Gift Card $50,5000,2024-03-02
48,32332,Product Discount,500,2025-03-17
49,46624,Gift Card $50,5000,2025-11-28
50,40104,Gift Card $50,5000,2024-10-04
51,34666,Product Discount,500,2025-12-18
52,43878,Gift Card $50,5000,2024-06-04
53,34830,Product Discount,500,2025-08-01
54,30594,Gift Card $10,1000,2024-12-31
55,39825,Free Shipping Voucher,200,2024-09-09
56,25379,Free Shipping Voucher,200,2024-10-03
57,17435,Product Discount,500,2024-05-02
58,29973,Gift Card $50,5000,2025-07-06
59,34310,Free Shipping Voucher,200,2025-11-24
60,23616,Free Shipping Voucher,200,2025-05-03
61,3811,Product Discount,500,2025-06-28
62,44308,Free Shipping Voucher,200,2026-01-17
63,283,Gift Card $10,1000,2025-02-28
64,29341,Gift Card $10,1000,2026-02-24
65,12466,Gift Card $10,1000,2024-03-06
66,22337,Product Discount,500,2025-08-12
67,38603,Product Discount,500,2024-12-09
68,26921,Gift Card $10,1000,2025-01-11
69,2692,Gift Card $50,5000,2025-02-23
70,18728,Free Shipping Voucher,200,2026-02-20
71,4144,Gift Card $10,1000,2024-11-01
72,48177,Product Discount,500,2024-07-01
73,43463,Gift Card $50,5000,2025-03-21
74,13652,Gift Card $10,1000,2025-06-09
75,39517,Gift Card $50,5000,2024-05-18
76,5260,Free Shipping Voucher,200,2025-11-02
77,31449,Product Discount,500,2024-08-14
78,6447,Gift Card $50,5000,2024-08-03
79,47475,Gift Card $10,1000,2024-08-28
80,11036,Gift Card $50,5000,2025-05-14
81,3404,Gift Card $50,5000,2025-08-31
82,35791,Product Discount,500,2026-02-10
83,3489,Gift Card $50,5000,2024-10-13
84,29150,Product Discount,500,2024-03-09
85,13330,Product Discount,500,2025-03-24
86,18700,Gift Card $50,5000,2024-06-12
87,8370,Free Shipping Voucher,200,2024-12-14
88,8370,Gift Card $50,5000,2024-04-27
89,12569,Gift Card $50,5000,2024-08-22
90,28446,Product Discount,500,2024-11-13
91,35749,Product Discount,500,2024-06-20
92,40947,Gift Card $50,5000,2026-01-11
93,40803,Gift Card $50,5000,2025-09-26
94,26848,Gift Card $50,5000,2025-08-22
95,35932,Gift Card $50,5000,2024-08-10
96,1286,Product Discount,500,2024-05-06
97,9781,Free Shipping Voucher,200,2025-07-25
98,14253,Product Discount,500,2025-04-15
99,14483,Gift Card $10,1000,2026-01-19
100,41046,Free Shipping Voucher,200,2025-07-11
101,8084,Gift Card $50,5000,2025-09-21
102,8299,Free Shipping Voucher,200,2026-01-27
103,21995,Gift Card $50,5000,2024-10-07
104,10036,Gift Card $50,5000,2025-05-10
105,25915,Gift Card $10,1000,2025-04-26
106,10718,Gift Card $10,1000,2025-07-17
107,44781,Free Shipping Voucher,200,2024-10-07
108,28186,Gift Card $10,1000,2025-09-11
109,48921,Free Shipping Voucher,200,2024-08-25
110,22676,Product Discount,500,2025-01-05
111,4584,Free Shipping Voucher,200,2024-05-23
112,39282,Product Discount,500,2025-08-04
113,22729,Gift Card $10,1000,2025-08-23
114,10974,Product Discount,500,2024-08-23
115,13711,Gift Card $50,5000,2024-07-23
116,5605,Gift Card $10,1000,2025-07-21
117,5022,Product Discount,500,2026-01-10
118,7719,Gift Card $10,1000,2024-11-09
119,18665,Gift Card $10,1000,2026-02-14
120,8320,Product Discount,500,2024-09-06
121,13523,Gift Card $50,5000,2026-02-10
122,37437,Gift Card $10,1000,2025-04-04
123,41001,Gift Card $50,5000,2025-02-02
124,18592,Product Discount,500,2024-11-23
125,33766,Gift Card $10,1000,2025-03-08
126,13751,Gift Card $50,5000,2025-03-23
127,49349,Gift Card $50,5000,2024-03-25
128,23695,Gift Card $10,1000,2024-03-10
129,3855,Free Shipping Voucher,200,2025-03-11
130,3552,Gift Card $50,5000,2025-11-16
131,46847,Free Shipping Voucher,200,2025-06-29
132,26884,Gift Card $50,5000,2025-06-04
133,35396,Gift Card $50,5000,2024-08-22
134,22035,Gift Card $10,1000,2025-10-08
135,29146,Gift Card $50,5000,2025-07-23
136,8207,Free Shipping Voucher,200,2026-02-02
137,6467,Product Discount,500,2025-01-31
138,14553,Gift Card $10,1000,2025-11-10
139,20147,Product Discount,500,2024-10-31
140,37865,Free Shipping Voucher,200,2025-09-30
141,23413,Product Discount,500,2024-07-01
142,30437,Product Discount,500,2025-02-28
143,306,Gift Card $50,5000,2024-09-19
144,15737,Gift Card $10,1000,2025-11-22
145,37501,Gift Card $50,5000,2024-09-17
146,5231,Gift Card $10,1000,2025-10-14
147,49068,Gift Card $10,1000,2024-05-26
148,27092,Free Shipping Voucher,200,2025-01-02
149,22072,Free Shipping Voucher,200,2024-03-17
150,30493,Gift Card $10,1000,2024-08-31
151,4165,Gift Card $50,5000,2024-06-17
152,29720,Product Discount,500,2025-06-19
153,9517,Gift Card $10,1000,2024-12-30
154,7429,Gift Card $50,5000,2024-04-24
155,36493,Product Discount,500,2025-06-27
156,2554,Free Shipping Voucher,200,2024-11-22
157,45712,Gift Card $50,5000,2024-03-25
158,7534,Gift Card $50,5000,2026-01-06
159,19799,Gift Card $10,1000,2025-03-14
160,49201,Free Shipping Voucher,200,2025-09-11
161,34858,Gift Card $10,1000,2025-12-26
162,6020,Gift Card $50,5000,2024-03-16
163,37852,Gift Card $10,1000,2025-10-30
164,14061,Gift Card $50,5000,2025-09-13
165,36880,Free Shipping Voucher,200,2025-11-29
166,45096,Product Discount,500,2025-10-16
167,42031,Gift Card $10,1000,2025-06-10
168,7311,Gift Card $10,1000,2024-06-15
169,49860,Product Discount,500,2025-06-12
170,4962,Free Shipping Voucher,200,2025-05-22
171,20389,Gift Card $50,5000,2024-06-18
172,16393,Free Shipping Voucher,200,2024-12-25
173,15153,Product Discount,500,2025-08-25
174,35604,Free Shipping Voucher,200,2025-06-23
175,28555,Gift Card $10,1000,2024-11-02
176,5424,Gift Card $10,1000,2024-06-22
177,21951,Gift Card $10,1000,2024-04-06
178,17808,Gift Card $10,1000,2025-08-19
179,48570,Free Shipping Voucher,200,2025-01-08
180,11813,Gift Card $50,5000,2025-05-08
181,11296,Gift Card $50,5000,2025-09-01
182,29527,Product Discount,500,2025-08-26
183,26866,Product Discount,500,2025-02-03
184,33096,Gift Card $50,5000,2024-11-12
185,501,Free Shipping Voucher,200,2024-11-10
186,41781,Gift Card $50,5000,2024-10-22
187,39883,Gift Card $50,5000,2025-03-29
188,22999,Gift Card $50,5000,2026-02-22
189,35531,Gift Card $50,5000,2026-01-30
190,17281,Free Shipping Voucher,200,2025-03-09
191,45340,Gift Card $50,5000,2024-05-09
192,24288,Gift Card $50,5000,2024-05-30
193,40663,Gift Card $10,1000,2024-04-29
194,28400,Free Shipping Voucher,200,2025-12-13
195,29562,Gift Card $10,1000,2025-01-08
196,1248,Free Shipping Voucher,200,2024-08-23
197,2614,Free Shipping Voucher,200,2025-04-29
198,33329,Gift Card $10,1000,2024-06-29
199,39668,Gift Card $50,5000,2025-07-13
200,25878,Gift Card $50,5000,2024-11-10
201,12692,Product Discount,500,2024-03-02
202,48579,Gift Card $10,1000,2025-02-06
203,4323,Gift Card $50,5000,2024-10-04
204,27234,Gift Card $50,5000,2025-09-13
205,36046,Free Shipping Voucher,200,2025-11-13
206,57,Gift Card $10,1000,2025-02-26
207,17560,Gift Card $50,5000,2025-12-14
208,6185,Gift Card $50,5000,2025-07-05
209,24212,Gift Card $50,5000,2024-05-17
210,18592,Product Discount,500,2025-08-06
211,33393,Product Discount,500,2024-08-01
212,13179,Gift Card $50,5000,2025-12-08
213,29607,Free Shipping Voucher,200,2025-08-08
214,9543,Gift Card $50,5000,2026-02-16
215,25718,Free Shipping Voucher,200,2024-05-28
216,44180,Free Shipping Voucher,200,2025-09-01
217,38540,Product Discount,500,2024-06-26
218,10213,Free Shipping Voucher,200,2025-03-29
219,39342,Free Shipping Voucher,200,2025-08-25
220,8624,Gift Card $10,1000,2024-08-18
221,20710,Product Discount,500,2025-06-20
222,3324,Free Shipping Voucher,200,2024-07-13
223,48369,Gift Card $50,5000,2025-11-15
224,26153,Product Discount,500,2024-09-06
225,36723,Product Discount,500,2024-06-01
226,25627,Product Discount,500,2024-06-01
227,33556,Free Shipping Voucher,200,2025-02-11
228,8243,Gift Card $10,1000,2025-11-19
229,8584,Gift Card $50,5000,2025-04-14
230,22761,Free Shipping Voucher,200,2025-10-19
231,28205,Product Discount,500,2026-01-19
232,9477,Gift Card $50,5000,2024-10-03
233,16706,Gift Card $50,5000,2025-09-13
234,35798,Gift Card $50,5000,2024-07-13
235,48635,Gift Card $10,1000,2024-11-27
236,44063,Gift Card $50,5000,2025-04-03
237,24252,Free Shipping Voucher,200,2025-11-30
238,14743,Gift Card $10,1000,2024-11-18
239,23731,Product Discount,500,2025-07-08
240,43798,Product Discount,500,2025-05-07
241,47743,Gift Card $50,5000,2024-12-09
242,24243,Gift Card $10,1000,2024-05-13
243,32202,Gift Card $10,1000,2025-05-23
244,31495,Gift Card $50,5000,2025-08-03
245,32808,Gift Card $10,1000,2025-05-13
246,39861,Gift Card $50,5000,2025-03-09
247,14655,Free Shipping Voucher,200,2025-12-23
248,6588,Product Discount,500,2024-06-17
249,9561,Gift Card $10,1000,2025-06-15
250,11616,Gift Card $50,5000,2025-04-16
251,40973,Product Discount,500,2024-06-04
252,40136,Product Discount,500,2025-01-05
253,5404,Free Shipping Voucher,200,2024-05-12
254,16339,Gift Card $10,1000,2025-12-29
255,37926,Free Shipping Voucher,200,2025-07-27
256,44636,Free Shipping Voucher,200,2024-11-30
257,4545,Gift Card $10,1000,2024-12-21
258,29816,Gift Card $10,1000,2025-08-30
259,27194,Free Shipping Voucher,200,2025-03-30
260,3568,Free Shipping Voucher,200,2025-05-02
261,14412,Gift Card $50,5000,2024-11-05
262,31032,Product Discount,500,2025-05-15
263,49258,Gift Card $10,1000,2025-04-21
264,9373,Gift Card $10,1000,2025-08-26
265,10626,Free Shipping Voucher,200,2026-02-13
266,21888,Gift Card $10,1000,2025-11-16
267,25302,Free Shipping Voucher,200,2024-09-03
268,24110,Gift Card $50,5000,2025-05-17
269,31988,Free Shipping Voucher,200,2025-08-20
270,33274,Gift Card $50,5000,2025-10-28
271,18524,Gift Card $50,5000,2025-03-30
272,24515,Gift Card $10,1000,2026-01-30
273,20300,Free Shipping Voucher,200,2025-08-05
274,43172,Product Discount,500,2024-09-21
275,9827,Gift Card $10,1000,2024-11-06
276,24164,Product Discount,500,2026-01-29
277,45286,Free Shipping Voucher,200,2024-11-30
278,2488,Free Shipping Voucher,200,2026-01-09
279,17415,Gift Card $10,1000,2024-11-14
280,47470,Product Discount,500,2024-02-28
281,27034,Gift Card $50,5000,2025-01-14
282,22218,Gift Card $10,1000,2024-08-16
283,4066,Free Shipping Voucher,200,2024-03-13
284,9785,Free Shipping Voucher,200,2024-06-21
285,34316,Gift Card $10,1000,2025-03-16
286,23582,Gift Card $50,5000,2025-11-25
287,42591,Gift Card $10,1000,2024-03-31
288,20598,Gift Card $10,1000,2024-11-06
289,8015,Gift Card $50,5000,2024-10-08
290,40707,Gift Card $10,1000,2026-02-20
291,39679,Gift Card $50,5000,2024-05-16
292,38570,Gift Card $10,1000,2024-06-12
293,12913,Gift Card $10,1000,2026-01-16
294,5690,Free Shipping Voucher,200,2024-04-25
295,11514,Gift Card $50,5000,2024-10-24
296,521,Gift Card $10,1000,2024-10-21
297,35550,Gift Card $10,1000,2024-03-27
298,29657,Product Discount,500,2025-09-29
299,25249,Gift Card $10,1000,2024-08-06
300,10310,Free Shipping Voucher,200,2024-07-07
301,36200,Product Discount,500,2024-09-16
302,7161,Free Shipping Voucher,200,2024-04-11
303,36381,Free Shipping Voucher,200,2025-02-23
304,35261,Product Discount,500,2025-12-04
305,41663,Free Shipping Voucher,200,2025-11-21
306,2334,Gift Card $10,1000,2025-12-03
307,40083,Gift Card $50,5000,2025-12-11
308,8223,Free Shipping Voucher,200,2025-08-01
309,32855,Product Discount,500,2025-04-10
310,6730,Gift Card $10,1000,2024-09-15
311,48537,Product Discount,500,2025-09-26
312,25889,Free Shipping Voucher,200,2024-05-20
313,43103,Product Discount,500,2026-02-02
314,39583,Free Shipping Voucher,200,2024-04-09
315,29279,Free Shipping Voucher,200,2025-10-03
316,37467,Product Discount,500,2024-07-21
317,49474,Gift Card $10,1000,2025-08-12
318,23971,Product Discount,500,2024-05-26
319,4624,Product Discount,500,2025-05-28
320,5168,Gift Card $50,5000,2024-04-10
321,36022,Gift Card $50,5000,2024-10-30
322,16789,Gift Card $50,5000,2025-06-29
323,14253,Gift Card $10,1000,2025-02-23
324,33022,Free Shipping Voucher,200,2024-03-15
325,48277,Gift Card $10,1000,2025-11-22
326,37457,Free Shipping Voucher,200,2024-02-28
327,36482,Free Shipping Voucher,200,2025-03-08
328,20277,Gift Card $50,5000,2024-12-14
329,23681,Product Discount,500,2025-01-03
330,39600,Gift Card $50,5000,2025-05-27
331,593,Product Discount,500,2025-09-10
332,42979,Free Shipping Voucher,200,2024-03-19
333,30049,Gift Card $10,1000,2025-05-27
