spend_id,campaign_id,spend_date,amount,platform
1,4,2025-03-15,360.28,Facebook
2,76,2024-12-02,538.49,Google
3,15,2025-11-16,1599.49,LinkedIn
4,103,2024-02-08,2320.03,Twitter
5,239,2024-11-26,531.14,Google
6,49,2025-04-24,4270.92,LinkedIn
7,175,2024-01-15,4235.8,Twitter
8,113,2025-12-16,2379.86,Instagram
9,214,2025-01-12,3889.08,Facebook
10,226,2024-07-27,2121.9,Instagram
11,104,2024-04-10,3695.54,Facebook
12,136,2025-08-17,3290.54,Instagram
13,22,2025-02-10,2294.4,Facebook
14,138,2025-11-27,3197.94,Facebook
15,32,2025-02-04,3752.05,Facebook
16,170,2025-09-04,633.53,LinkedIn
17,239,2024-07-14,2970.8,Twitter
18,77,2024-12-18,2769.25,Instagram
19,37,2025-09-03,4627.59,Google
20,189,2024-07-24,2834.05,Facebook
21,66,2025-08-20,4898.92,Facebook
22,167,2025-10-12,2702.24,LinkedIn
23,59,2024-07-06,1103.27,LinkedIn
24,202,2025-09-28,2311.72,Google
25,138,2024-11-26,4083.72,Google
26,103,2025-02-25,2444.2,Google
27,84,2025-10-11,3597.52,Twitter
28,139,2024-01-08,534.0,Twitter
29,219,2026-01-12,3386.08,Twitter
30,246,2025-03-06,377.71,Facebook
31,164,2024-06-13,2112.49,Instagram
32,212,2024-12-15,749.38,Twitter
33,229,2025-09-12,3541.0,Facebook
34,226,2024-05-20,1464.75,Facebook
35,127,2025-01-20,924.42,Instagram
36,16,2026-01-01,3808.67,Facebook
37,55,2025-02-01,3354.44,Google
38,12,2025-04-17,4387.37,Google
39,11,2025-04-24,2313.71,Instagram
40,54,2025-10-05,882.34,Twitter
41,176,2026-02-01,2099.33,Twitter
42,69,2024-11-26,1822.52,Twitter
43,154,2025-11-04,2986.45,Instagram
44,96,2024-08-03,4851.09,Twitter
45,14,2025-12-07,3180.62,LinkedIn
46,28,2024-12-30,2345.59,Facebook
47,220,2025-12-22,121.3,Instagram
48,205,2024-11-21,3885.37,LinkedIn
49,246,2025-05-25,3231.32,Google
50,109,2025-05-24,4081.27,Instagram
51,185,2024-09-08,2233.89,Facebook
52,229,2026-01-02,2286.4,Facebook
53,24,2026-02-02,801.9,LinkedIn
54,149,2024-04-02,2280.57,Instagram
55,147,2024-02-16,4630.46,Instagram
56,142,2024-09-01,1335.47,Twitter
57,212,2025-10-18,3133.37,Google
58,207,2025-10-28,4325.79,LinkedIn
59,132,2025-04-02,3515.01,Twitter
60,227,2026-01-30,3393.92,Facebook
61,94,2025-12-12,1797.41,Twitter
62,123,2026-02-07,1436.91,Twitter
63,140,2024-12-21,4062.44,LinkedIn
64,49,2025-01-13,891.7,Twitter
65,122,2025-07-06,3067.79,Instagram
66,216,2025-09-28,2604.58,Instagram
67,57,2024-10-25,2270.08,Facebook
68,141,2024-08-22,1772.18,LinkedIn
69,210,2025-12-21,4416.15,Google
70,137,2024-08-17,530.61,Google
71,58,2024-01-23,4323.35,LinkedIn
72,203,2024-10-23,500.26,LinkedIn
73,160,2024-09-24,1379.28,Instagram
74,12,2025-10-12,352.4,Instagram
75,175,2026-02-18,861.25,Twitter
76,2,2026-01-27,671.02,LinkedIn
77,164,2024-10-06,1347.61,Facebook
78,198,2025-05-29,3284.9,Instagram
79,152,2025-08-05,887.15,LinkedIn
80,111,2025-04-24,1118.49,Twitter
81,16,2026-01-16,2374.37,Twitter
82,83,2025-10-04,140.2,Facebook
83,77,2026-01-16,2818.98,Twitter
84,84,2025-07-03,4211.01,Google
85,132,2024-11-10,2039.43,Google
86,122,2024-10-06,2095.28,Instagram
87,56,2024-08-10,2972.08,Twitter
88,188,2025-07-17,4898.86,Facebook
89,218,2024-07-01,4412.34,Instagram
90,3,2024-06-07,4970.93,LinkedIn
91,203,2024-06-09,2166.11,Instagram
92,218,2025-09-21,1364.02,Facebook
93,213,2024-02-22,958.93,Google
94,39,2024-04-19,2914.83,Facebook
95,99,2026-02-16,4398.59,LinkedIn
96,109,2025-05-27,1644.08,LinkedIn
97,125,2025-02-02,2418.76,Twitter
98,216,2024-05-08,2532.99,Google
99,235,2025-09-21,348.55,Google
100,207,2026-01-17,3718.27,LinkedIn
101,30,2024-03-09,3670.77,LinkedIn
102,160,2025-09-06,277.97,LinkedIn
103,26,2025-03-21,2106.36,Google
104,165,2024-08-01,1367.84,Facebook
105,68,2025-09-20,1987.2,Facebook
106,5,2025-06-06,4059.0,Instagram
107,118,2026-01-23,4469.22,Facebook
108,192,2024-07-15,1017.7,LinkedIn
109,139,2025-10-09,1786.0,Facebook
110,179,2026-01-20,3133.55,Facebook
111,17,2025-12-04,1618.61,Facebook
112,16,2024-02-14,1953.98,LinkedIn
113,149,2024-01-31,3004.59,Google
114,18,2024-04-10,1806.86,Instagram
115,23,2025-06-21,776.17,Instagram
116,171,2025-12-24,2997.49,Instagram
117,170,2025-08-05,1272.21,Facebook
118,182,2025-02-25,3246.73,LinkedIn
119,210,2024-12-11,3908.05,Google
120,175,2024-12-11,963.45,LinkedIn
121,188,2025-08-09,3590.66,Twitter
122,36,2025-10-29,1126.03,Instagram
123,104,2024-09-24,1973.65,Twitter
124,55,2024-12-01,530.63,Facebook
125,122,2024-10-23,662.83,Facebook
126,78,2026-01-20,2069.48,Google
127,214,2024-06-27,1977.49,Google
128,247,2026-02-10,4388.57,Google
129,8,2026-02-23,1830.47,Google
130,218,2025-02-02,2320.57,Google
131,11,2024-05-23,4911.77,Twitter
132,109,2024-01-15,2656.07,LinkedIn
133,83,2025-04-17,1027.02,Facebook
134,78,2024-08-26,603.16,Facebook
135,84,2024-08-16,4781.31,Google
136,229,2025-11-24,2969.43,Google
137,109,2024-03-31,1153.47,Google
138,234,2024-05-11,830.27,Facebook
139,187,2026-01-09,4957.69,Instagram
140,64,2025-02-02,2847.43,Instagram
141,91,2026-01-07,4925.93,LinkedIn
142,182,2026-02-02,4101.49,Facebook
143,115,2024-08-12,3059.38,Google
144,29,2025-08-18,3748.88,Google
145,233,2025-01-16,3648.67,Instagram
146,188,2025-09-14,349.0,Twitter
147,107,2024-04-06,327.2,Twitter
148,127,2024-12-27,4643.42,Twitter
149,78,2025-02-06,1952.86,Twitter
150,100,2025-10-04,509.39,Instagram
151,15,2024-12-30,952.39,Instagram
152,81,2024-08-20,938.48,Twitter
153,172,2024-08-14,1799.32,Instagram
154,118,2025-11-26,4736.72,Twitter
155,250,2024-04-29,4741.6,Twitter
156,147,2025-11-13,235.37,LinkedIn
157,199,2026-02-19,692.02,Twitter
158,183,2026-01-27,4063.91,Twitter
159,94,2025-08-14,1243.35,Twitter
160,206,2024-02-13,466.19,LinkedIn
161,170,2025-02-24,794.73,LinkedIn
162,65,2024-03-07,3583.23,Twitter
163,247,2025-04-20,1854.12,Google
164,31,2024-05-13,477.5,Google
165,50,2025-11-07,3647.54,Instagram
166,250,2024-02-03,2736.08,Instagram
167,156,2025-07-07,4562.31,Facebook
168,210,2024-08-08,4616.28,Facebook
169,122,2024-12-23,2878.45,Facebook
170,183,2024-07-03,3569.46,LinkedIn
171,241,2024-10-27,2234.14,LinkedIn
172,125,2025-10-28,3808.43,Facebook
173,156,2025-02-13,4199.45,Twitter
174,152,2024-06-24,1077.33,Twitter
175,246,2025-05-20,3247.31,Twitter
176,122,2024-01-01,837.1,Facebook
177,242,2025-02-14,2090.62,LinkedIn
178,217,2025-11-17,3239.82,Google
179,138,2024-09-29,2672.21,Facebook
180,240,2025-01-25,2769.57,Twitter
181,16,2024-03-03,2123.68,Google
182,111,2025-01-05,2273.34,Google
183,206,2024-12-07,410.63,Instagram
184,74,2024-07-31,223.0,Instagram
185,106,2025-02-06,3249.94,Instagram
186,20,2024-02-17,1895.86,Instagram
187,104,2025-07-16,416.66,LinkedIn
188,5,2025-07-01,2646.56,Google
189,199,2025-12-30,658.68,Google
190,102,2024-11-08,2666.96,Facebook
191,67,2024-04-29,3366.54,LinkedIn
192,91,2024-10-23,3247.48,Instagram
193,89,2025-08-31,291.59,Twitter
194,156,2025-09-13,2462.74,Instagram
195,34,2024-12-28,3672.8,Google
196,212,2025-01-03,1349.53,Facebook
197,79,2025-09-30,572.7,Facebook
198,95,2024-10-19,576.44,Twitter
199,35,2024-06-11,3112.33,Google
200,42,2025-12-19,1246.24,Facebook
201,39,2024-06-19,200.96,Google
202,203,2024-12-11,3591.06,LinkedIn
203,237,2025-04-26,1741.26,LinkedIn
204,183,2024-12-06,878.97,Instagram
205,16,2025-04-27,1528.35,LinkedIn
206,86,2024-07-01,4182.76,Twitter
207,195,2024-09-04,3507.15,Google
208,102,2024-03-08,3946.24,Google
209,122,2025-11-23,2996.16,LinkedIn
210,103,2025-08-13,2417.57,Instagram
211,165,2025-03-14,4126.02,Twitter
212,118,2026-02-23,3636.29,Twitter
213,168,2025-06-16,3776.51,Facebook
214,17,2024-06-16,1219.06,LinkedIn
215,159,2025-06-06,3438.26,Twitter
216,10,2025-08-07,3037.0,Facebook
217,147,2025-09-05,3312.31,LinkedIn
218,88,2024-11-19,3663.4,Instagram
219,86,2024-12-31,3747.2,Google
220,51,2024-04-24,3928.39,Twitter
221,128,2025-02-10,325.77,Facebook
222,91,2025-04-12,642.76,LinkedIn
223,237,2025-07-18,4097.34,Instagram
224,26,2025-10-21,2828.05,LinkedIn
225,89,2024-08-12,1213.06,Instagram
226,89,2025-01-10,4312.7,Twitter
227,229,2025-06-10,2934.18,Instagram
228,239,2025-11-26,1175.95,Facebook
229,74,2025-04-12,1583.41,LinkedIn
230,167,2024-07-31,3115.54,Twitter
231,73,2026-01-24,2850.81,LinkedIn
232,214,2025-11-26,1076.88,Google
233,106,2024-12-03,1762.35,LinkedIn
234,195,2024-06-11,4595.03,LinkedIn
235,242,2024-02-23,1943.33,Instagram
236,233,2025-10-15,727.74,Facebook
237,246,2025-08-28,1247.66,Google
238,175,2024-09-20,4082.26,LinkedIn
239,131,2025-02-17,3669.95,Facebook
240,63,2025-11-15,4683.98,Facebook
241,92,2025-05-02,764.04,Instagram
242,175,2024-08-03,4433.23,Twitter
243,203,2025-12-21,212.97,Instagram
244,171,2024-01-23,4493.77,LinkedIn
245,15,2025-08-26,2869.63,LinkedIn
246,138,2025-03-26,3955.71,Twitter
247,33,2024-04-30,4440.97,Google
248,38,2024-05-12,1928.39,LinkedIn
249,57,2024-10-26,1399.46,LinkedIn
250,163,2025-11-19,682.84,LinkedIn
251,139,2025-03-05,377.52,Google
252,69,2024-08-17,1278.88,Instagram
253,54,2025-09-25,531.71,Instagram
254,11,2024-09-20,4083.39,Instagram
255,90,2025-02-05,2554.9,Facebook
256,153,2025-05-31,2998.98,Google
