promo_id,promo_name,discount_percent,start_date,end_date,active
1,Multi-lateral Sale,10,2026-02-12,2026-02-16,False
2,Open-architected Sale,15,2024-11-29,2024-12-09,True
3,Customer-focused Sale,5,2025-08-01,2025-08-16,True
4,Implemented Sale,10,2025-05-14,2025-05-19,False
5,Enterprise-wide Sale,10,2024-07-22,2024-08-06,False
6,Automated Sale,5,2024-08-11,2024-08-23,False
7,Proactive Sale,10,2025-05-12,2025-05-20,False
8,Streamlined Sale,50,2024-09-20,2024-09-24,False
9,Optimized Sale,10,2025-09-18,2025-09-27,False
10,Multi-channeled Sale,5,2024-12-01,2024-12-06,True
11,Configurable Sale,5,2025-07-23,2025-08-04,True
12,Sharable Sale,5,2025-10-10,2025-10-23,False
13,Automated Sale,15,2024-03-18,2024-03-26,True
14,Focused Sale,25,2024-09-16,2024-09-26,False
15,Down-sized Sale,15,2025-08-11,2025-08-16,True
16,Customer-focused Sale,15,2024-09-10,2024-09-20,True
17,Switchable Sale,5,2026-02-02,2026-02-11,False
18,Automated Sale,10,2024-06-12,2024-06-21,False
19,Robust Sale,20,2024-06-08,2024-06-14,False
20,Profound Sale,20,2025-04-30,2025-05-06,False
21,Fully-configurable Sale,5,2024-04-05,2024-04-14,False
22,Enhanced Sale,15,2024-11-21,2024-12-05,True
23,Front-line Sale,20,2024-10-13,2024-10-23,True
24,Face-to-face Sale,15,2024-12-13,2024-12-26,False
25,Future-proofed Sale,25,2025-07-01,2025-07-07,False
26,Future-proofed Sale,25,2025-03-11,2025-03-16,True
27,Vision-oriented Sale,50,2025-08-18,2025-08-28,True
28,Multi-channeled Sale,15,2024-12-27,2025-01-05,True
29,Front-line Sale,5,2025-07-05,2025-07-19,True
30,Visionary Sale,5,2024-04-04,2024-04-10,False
31,Centralized Sale,50,2025-01-18,2025-01-30,True
32,Expanded Sale,5,2025-10-20,2025-11-04,False
33,Innovative Sale,5,2025-09-10,2025-09-24,False
34,Managed Sale,5,2025-05-25,2025-05-30,False
35,Switchable Sale,25,2024-08-30,2024-09-02,False
36,Focused Sale,20,2024-06-16,2024-06-26,True
37,Re-engineered Sale,10,2025-07-30,2025-08-02,False
38,User-friendly Sale,50,2024-10-25,2024-10-31,False
39,Phased Sale,50,2025-05-04,2025-05-19,False
40,Multi-tiered Sale,25,2024-05-31,2024-06-14,False
41,Multi-tiered Sale,50,2025-05-02,2025-05-16,True
42,Fully-configurable Sale,20,2025-03-26,2025-03-31,False
43,Down-sized Sale,15,2024-08-19,2024-08-28,False
44,Visionary Sale,25,2024-11-06,2024-11-16,False
45,Optional Sale,15,2024-12-11,2024-12-15,True
46,Total Sale,50,2024-10-18,2024-10-28,False
47,Multi-tiered Sale,20,2024-10-03,2024-10-12,False
48,Profit-focused Sale,50,2024-05-08,2024-05-14,False
49,Multi-layered Sale,15,2024-08-18,2024-08-22,True
50,Persevering Sale,50,2024-10-31,2024-11-04,False
51,Persistent Sale,50,2024-12-22,2025-01-03,False
52,Optimized Sale,5,2024-03-12,2024-03-18,False
53,Synergistic Sale,10,2025-09-15,2025-09-22,False
54,Expanded Sale,25,2025-04-09,2025-04-16,False
55,Progressive Sale,50,2024-09-12,2024-09-18,True
56,Multi-lateral Sale,10,2024-12-15,2024-12-27,False
57,Open-architected Sale,50,2024-05-28,2024-06-05,False
58,Reactive Sale,10,2025-01-17,2025-01-29,False
59,Optional Sale,20,2025-12-04,2025-12-11,False
60,Distributed Sale,15,2025-02-14,2025-02-24,True
61,Down-sized Sale,20,2024-11-19,2024-12-04,False
62,Reverse-engineered Sale,20,2024-06-13,2024-06-16,True
63,Networked Sale,25,2024-08-18,2024-08-28,True
64,Progressive Sale,5,2025-10-03,2025-10-06,False
65,Synchronized Sale,20,2025-01-25,2025-02-08,False
66,Visionary Sale,25,2024-08-25,2024-09-05,False
67,Customer-focused Sale,50,2025-03-14,2025-03-20,False
68,Managed Sale,25,2024-04-15,2024-04-26,True
69,Front-line Sale,50,2024-10-16,2024-10-31,True
70,Future-proofed Sale,50,2025-11-16,2025-12-01,False
71,Implemented Sale,10,2024-11-01,2024-11-16,False
72,Managed Sale,5,2024-12-05,2024-12-13,True
73,Open-source Sale,50,2026-02-17,2026-02-26,False
74,Digitized Sale,25,2024-10-13,2024-10-23,True
75,Synchronized Sale,15,2025-11-30,2025-12-10,False
76,Pre-emptive Sale,10,2024-04-30,2024-05-15,False
77,Programmable Sale,15,2025-08-07,2025-08-20,False
78,Polarized Sale,15,2025-10-18,2025-10-25,True
79,Reduced Sale,5,2024-11-17,2024-11-29,True
80,Profound Sale,15,2025-05-21,2025-05-30,False
81,Devolved Sale,15,2024-05-25,2024-06-02,False
82,De-engineered Sale,5,2025-07-17,2025-07-21,True
83,Balanced Sale,25,2025-06-21,2025-07-04,False
84,User-friendly Sale,10,2024-12-03,2024-12-08,False
85,Compatible Sale,15,2024-08-02,2024-08-08,False
86,Intuitive Sale,20,2024-07-18,2024-07-22,False
87,Monitored Sale,20,2024-03-27,2024-04-07,False
88,Grass-roots Sale,15,2024-07-13,2024-07-26,True
89,Right-sized Sale,50,2024-08-28,2024-09-10,False
90,Enhanced Sale,50,2025-03-19,2025-03-29,False
91,Cross-platform Sale,10,2024-08-22,2024-09-04,False
92,Switchable Sale,5,2026-02-10,2026-02-15,False
93,Team-oriented Sale,5,2025-10-19,2025-10-26,False
94,Proactive Sale,20,2024-05-21,2024-05-26,False
95,Object-based Sale,5,2025-04-17,2025-04-21,False
96,Ergonomic Sale,25,2025-09-14,2025-09-24,True
97,Future-proofed Sale,50,2025-01-26,2025-02-04,True
98,Self-enabling Sale,50,2025-09-24,2025-10-01,True
99,Organic Sale,15,2025-06-26,2025-07-03,True
100,Configurable Sale,25,2024-10-13,2024-10-27,True
101,Monitored Sale,50,2025-01-09,2025-01-15,False
102,Switchable Sale,20,2024-09-23,2024-10-08,False
103,Innovative Sale,5,2025-02-23,2025-03-01,False
104,Cross-group Sale,10,2025-10-04,2025-10-07,False
105,Front-line Sale,25,2024-05-30,2024-06-11,False
106,Seamless Sale,5,2025-07-10,2025-07-21,True
107,Sharable Sale,10,2024-07-26,2024-08-02,True
108,Robust Sale,15,2025-01-01,2025-01-10,False
109,Open-source Sale,25,2025-10-20,2025-11-04,False
110,Expanded Sale,10,2024-05-01,2024-05-10,False
111,Profit-focused Sale,10,2025-08-16,2025-08-23,True
112,Optional Sale,15,2025-12-04,2025-12-15,True
113,Diverse Sale,25,2025-07-04,2025-07-12,True
114,Fundamental Sale,5,2025-06-05,2025-06-12,False
