store_id,store_name,region_id,city,square_ft,opening_date
1,RetailMart Gwalior,17,Gwalior,2205,2024-06-25
2,RetailMart Indore,4,Indore,2704,2025-02-08
3,RetailMart Prayagraj,7,Prayagraj,4524,2024-09-26
4,RetailMart Indore,19,Indore,4674,2022-05-08
5,RetailMart Howrah,16,Howrah,4652,2024-11-30
6,RetailMart Gaya,15,Gaya,3629,2023-12-27
7,RetailMart Panaji,18,Panaji,1224,2024-01-09
8,RetailMart Trichy,9,Trichy,4586,2023-04-26
9,RetailMart Leh,3,Leh,1711,2024-12-10
10,RetailMart Aizawl,17,Aizawl,1586,2023-05-14
11,RetailMart Srinagar,10,Srinagar,3478,2025-02-01
12,RetailMart Cuttack,14,Cuttack,2224,2024-07-06
13,RetailMart Mysuru,16,Mysuru,3397,2022-10-09
14,RetailMart Prayagraj,15,Prayagraj,2220,2024-09-25
15,RetailMart Prayagraj,5,Prayagraj,4858,2024-07-22
16,RetailMart Jamshedpur,11,Jamshedpur,3765,2023-05-11
17,RetailMart Madurai,20,Madurai,3826,2024-06-21
18,RetailMart Nagpur,14,Nagpur,3577,2023-12-22
19,RetailMart Kanpur,20,Kanpur,1035,2024-12-01
20,RetailMart Cuttack,6,Cuttack,2739,2022-04-21
21,RetailMart Vadodara,11,Vadodara,2032,2024-08-31
22,RetailMart Thane,2,Thane,4399,2021-05-15
23,RetailMart Port Blair,2,Port Blair,1128,2024-10-01
24,RetailMart Udaipur,19,Udaipur,1942,2022-05-10
25,RetailMart Prayagraj,7,Prayagraj,2398,2022-11-03
26,RetailMart Bilaspur,20,Bilaspur,2720,2023-03-28
27,RetailMart Siliguri,1,Siliguri,2119,2023-11-23
28,RetailMart Gwalior,15,Gwalior,4319,2023-01-27
29,RetailMart Ranchi,18,Ranchi,3635,2023-10-19
30,RetailMart Imphal,20,Imphal,2918,2021-09-24
31,RetailMart Gandhinagar,11,Gandhinagar,4238,2023-06-08
32,RetailMart Coimbatore,4,Coimbatore,4708,2021-05-10
33,RetailMart Mumbai,8,Mumbai,3993,2022-08-17
34,RetailMart Jodhpur,7,Jodhpur,1790,2021-04-27
35,RetailMart Ludhiana,9,Ludhiana,4164,2024-07-10
36,RetailMart Gaya,6,Gaya,1152,2024-03-29
37,RetailMart Howrah,4,Howrah,3940,2022-01-26
38,RetailMart Rajkot,19,Rajkot,1259,2021-06-24
39,RetailMart Prayagraj,14,Prayagraj,1990,2022-12-18
40,RetailMart Dhanbad,17,Dhanbad,2912,2021-09-22
41,RetailMart Amritsar,6,Amritsar,2201,2024-02-08
42,RetailMart Nashik,6,Nashik,3800,2023-02-04
43,RetailMart Lucknow,9,Lucknow,2233,2021-04-01
44,RetailMart Karimnagar,19,Karimnagar,2769,2023-12-09
45,RetailMart Kota,9,Kota,2035,2024-06-15
46,RetailMart Trichy,14,Trichy,3040,2023-06-01
47,RetailMart Mangalore,10,Mangalore,2246,2021-10-29
48,RetailMart Jaipur,19,Jaipur,1896,2021-05-27
49,RetailMart Kanpur,6,Kanpur,4938,2024-03-20
50,RetailMart Rajkot,17,Rajkot,2828,2024-04-29
51,RetailMart Trichy,8,Trichy,3051,2022-05-28
52,RetailMart Rourkela,20,Rourkela,4921,2021-09-27
53,RetailMart Dhanbad,12,Dhanbad,3934,2022-09-26
54,RetailMart Nashik,15,Nashik,3170,2021-12-09
55,RetailMart Udupi,17,Udupi,3531,2021-08-24
56,RetailMart Raipur,20,Raipur,3397,2023-09-11
57,RetailMart Ahmedabad,7,Ahmedabad,4834,2022-08-12
58,RetailMart Noida,14,Noida,4639,2021-12-10
59,RetailMart Srinagar,10,Srinagar,3851,2024-09-24
60,RetailMart Surat,13,Surat,2822,2024-06-29
61,RetailMart New Delhi,16,New Delhi,3169,2023-11-25
62,RetailMart Cuttack,8,Cuttack,2549,2023-06-14
63,RetailMart Agra,11,Agra,1394,2021-02-27
64,RetailMart Chennai,16,Chennai,2939,2025-02-02
65,RetailMart Patiala,3,Patiala,2245,2021-12-25
66,RetailMart Noida,2,Noida,1461,2022-11-30
67,RetailMart Bilaspur,19,Bilaspur,3845,2024-07-12
68,RetailMart Bhopal,1,Bhopal,4625,2024-08-10
69,RetailMart Udaipur,19,Udaipur,1318,2022-02-02
70,RetailMart Karimnagar,8,Karimnagar,1998,2024-10-24
71,RetailMart Agartala,10,Agartala,2396,2023-10-19
72,RetailMart Noida,5,Noida,2746,2022-06-19
73,RetailMart Siliguri,17,Siliguri,1287,2024-12-01
74,RetailMart Imphal,5,Imphal,4841,2023-05-10
75,RetailMart Erode,11,Erode,1356,2023-02-27
76,RetailMart Madurai,20,Madurai,3806,2022-05-13
77,RetailMart Indore,10,Indore,3376,2024-02-28
78,RetailMart Pune,9,Pune,3780,2021-12-12
79,RetailMart Bhopal,12,Bhopal,4204,2022-09-21
80,RetailMart Bhopal,16,Bhopal,2670,2025-01-02
81,RetailMart Trichy,15,Trichy,2071,2021-09-15
82,RetailMart Rourkela,8,Rourkela,3655,2022-05-22
83,RetailMart Ludhiana,16,Ludhiana,4414,2025-02-17
84,RetailMart Hyderabad,8,Hyderabad,2676,2023-10-03
85,RetailMart Imphal,20,Imphal,2058,2024-03-01
86,RetailMart Mysuru,17,Mysuru,1679,2022-08-15
87,RetailMart Jaipur,1,Jaipur,1534,2025-02-13
88,RetailMart Kanpur,2,Kanpur,3086,2021-10-05
89,RetailMart Meerut,5,Meerut,1658,2022-02-22
90,RetailMart Bhopal,16,Bhopal,1578,2022-01-13
91,RetailMart Aizawl,4,Aizawl,3147,2021-05-06
92,RetailMart Chandigarh,11,Chandigarh,2388,2021-03-16
93,RetailMart Patna,13,Patna,3274,2021-06-03
94,RetailMart Pune,9,Pune,4313,2024-01-07
95,RetailMart Agartala,6,Agartala,2927,2022-02-23
96,RetailMart Patna,14,Patna,2929,2023-04-30
97,RetailMart Lucknow,10,Lucknow,1931,2022-08-19
98,RetailMart Rourkela,9,Rourkela,3128,2024-01-29
99,RetailMart Madurai,1,Madurai,4110,2021-12-05
100,RetailMart Chandigarh,11,Chandigarh,1278,2025-01-09
101,RetailMart Cuttack,4,Cuttack,1068,2021-07-05
102,RetailMart Kota,4,Kota,4379,2022-02-19
103,RetailMart Leh,2,Leh,2069,2024-01-16
104,RetailMart Bhubaneswar,19,Bhubaneswar,4863,2022-03-07
105,RetailMart Puri,5,Puri,1652,2022-01-29
106,RetailMart Jaipur,7,Jaipur,4219,2024-01-27
107,RetailMart Hyderabad,16,Hyderabad,1297,2024-06-15
108,RetailMart Mumbai,2,Mumbai,3571,2023-04-11
109,RetailMart Indore,15,Indore,4379,2021-03-18
110,RetailMart Prayagraj,5,Prayagraj,2387,2023-03-16
111,RetailMart Howrah,8,Howrah,1206,2024-04-02
112,RetailMart Gaya,1,Gaya,1031,2022-09-02
113,RetailMart Erode,18,Erode,1339,2021-10-01
114,RetailMart Chandigarh,11,Chandigarh,2701,2022-04-19
115,RetailMart Nashik,8,Nashik,4888,2021-05-06
116,RetailMart Kolkata,5,Kolkata,2964,2022-09-08
