ticket_id,customer_id,agent_id,category,priority,status,created_date,resolved_date,subject
1,2125,513,Login Issue,Low,Resolved,2025-01-25,2025-01-31 08:00:00,Login Issue - Architecto aliquid in.
2,8212,995,Account Update,High,Resolved,2025-01-04,2025-01-08 23:00:00,Account Update - Corrupti consequatur tenetur atque quod.
3,14761,2458,Account Update,Medium,Closed,2025-05-09,2025-05-10 16:00:00,Account Update - Eos aliquid dicta harum perspiciatis.
4,31283,2162,Order Status,High,Open,2025-03-10,2025-03-13 02:00:00,Order Status - Rem optio a pariatur sed.
5,25545,341,Return Request,Medium,Resolved,2026-01-07,,Return Request - Quos quisquam.
6,36059,1123,Product Defect,Low,Closed,2025-09-12,2025-09-16 15:00:00,Product Defect - Numquam consequuntur dignissimos.
7,12249,2729,Payment Failure,Low,Open,2024-06-07,,Payment Failure - Optio libero molestias qui.
8,15808,1767,Product Defect,Medium,In Progress,2024-09-12,2024-09-16 10:00:00,Product Defect - Reiciendis iste ducimus recusandae.
9,29333,1124,Product Defect,Critical,Resolved,2025-05-03,,Product Defect - Magni explicabo fugit dicta.
10,25275,2741,Account Update,Low,Resolved,2024-02-01,2024-02-01 19:00:00,Account Update - Possimus illum.
11,22796,2901,Product Defect,Medium,Closed,2025-04-29,2025-04-29 07:00:00,Product Defect - Amet autem placeat.
12,1187,2246,Account Update,High,In Progress,2024-10-17,,Account Update - Aut minima saepe asperiores voluptates.
13,24404,618,Product Defect,High,Resolved,2024-02-08,2024-02-14 22:00:00,Product Defect - Aliquid velit natus architecto magnam.
14,31576,725,Account Update,High,Closed,2024-06-24,2024-06-27 02:00:00,Account Update - Cum id.
15,5987,361,Order Status,Low,In Progress,2025-04-08,2025-04-14 01:00:00,Order Status - Sapiente harum provident.
16,26180,946,Order Status,High,Closed,2025-06-14,2025-06-19 22:00:00,Order Status - Maiores ad quod voluptatem.
17,42996,1239,Product Defect,Low,In Progress,2024-04-30,2024-05-01 04:00:00,Product Defect - Quisquam voluptate similique harum.
18,27644,1892,Product Defect,Critical,Closed,2024-02-15,2024-02-18 05:00:00,Product Defect - Quisquam tempora adipisci beatae unde.
19,40768,2304,Account Update,High,In Progress,2025-06-09,2025-06-12 07:00:00,Account Update - Esse maxime dicta.
20,20345,944,Order Status,Low,In Progress,2024-10-15,2024-10-21 04:00:00,Order Status - Nesciunt deserunt repellendus vitae.
21,33074,2279,Payment Failure,Critical,Resolved,2025-10-10,2025-10-11 01:00:00,Payment Failure - Recusandae dolorum dolorum unde quia.
22,10188,1402,Product Defect,Medium,In Progress,2024-08-18,2024-08-22 11:00:00,Product Defect - Accusantium error necessitatibus.
23,49143,576,Payment Failure,High,Open,2024-06-03,,Payment Failure - Eos voluptate maxime incidunt reiciendis.
24,31204,1284,Return Request,Critical,In Progress,2025-11-24,,Return Request - Officia nisi itaque sint.
25,26219,1906,Product Defect,Critical,In Progress,2024-08-21,2024-08-25 12:00:00,Product Defect - Ex dignissimos amet.
26,31054,1959,Login Issue,Medium,Resolved,2025-05-02,2025-05-03 09:00:00,Login Issue - Consectetur explicabo inventore.
27,22112,553,Account Update,Medium,In Progress,2025-12-29,,Account Update - Ullam aspernatur ullam perferendis veniam.
28,48253,1762,Return Request,Medium,In Progress,2025-03-08,2025-03-12 15:00:00,Return Request - Impedit nemo molestiae.
29,7468,1948,Return Request,Critical,Resolved,2024-09-16,2024-09-20 01:00:00,Return Request - Saepe quibusdam nam nemo.
30,30045,34,Account Update,Medium,Resolved,2024-10-02,,Account Update - Praesentium numquam ex sed.
31,9552,108,Product Defect,High,In Progress,2024-11-10,2024-11-10 20:00:00,Product Defect - Quae explicabo ad.
32,11852,2250,Payment Failure,Medium,Resolved,2025-08-25,2025-08-27 20:00:00,Payment Failure - Ratione placeat beatae vero.
33,46286,92,Payment Failure,Medium,In Progress,2025-12-29,,Payment Failure - Accusantium sapiente cupiditate ipsum.
34,46984,10,Return Request,Critical,Closed,2025-02-03,,Return Request - Necessitatibus earum ipsam.
35,18783,2322,Product Defect,High,Resolved,2025-06-02,2025-06-07 04:00:00,Product Defect - Id delectus voluptas deserunt.
36,19464,240,Payment Failure,High,Closed,2024-05-06,2024-05-11 01:00:00,Payment Failure - Id asperiores.
37,15026,822,Return Request,Medium,In Progress,2024-07-02,2024-07-07 11:00:00,Return Request - Quaerat velit maxime.
38,11789,839,Order Status,Low,Resolved,2025-01-16,2025-01-17 14:00:00,Order Status - Iste amet quae fugiat.
39,6047,157,Login Issue,High,In Progress,2025-10-22,2025-10-22 15:00:00,Login Issue - Iusto est amet facilis.
40,48120,1336,Order Status,High,Closed,2024-11-09,2024-11-12 14:00:00,Order Status - Assumenda consectetur fuga.
41,20581,2335,Account Update,Critical,Open,2024-03-12,2024-03-18 15:00:00,Account Update - Delectus veniam.
42,39326,2466,Payment Failure,Medium,Open,2024-09-14,2024-09-15 19:00:00,Payment Failure - Nemo molestias aperiam nihil.
43,13293,375,Payment Failure,Medium,In Progress,2025-09-06,2025-09-07 00:00:00,Payment Failure - Id quidem.
